Recommended Column Name,Description
accuracy,Binary indicator of whether the participant's response was correct.
age,Age of the participant at the time of the experiment.
answer_options,"Answer options for a multiple-choice question, in the order they appeared on screen."
answer_rt,"Time spent selecting an answer, in milliseconds."
arousal,Participant's arousal or activation rating for the stimulus.
article_id,Identifier of the article or text a passage belongs to.
auditory_rating,Participant's auditory perceptual-strength rating for the stimulus.
best,Participant's 'best' choice string (from https://doi.org/10.1037/rev0000392)
clinical_diagnoses,"Any reported or documented clinical conditions relevant to cognitive, language, or psychological functioning."
cloze_certainty,Certainty of the cloze response distribution for a word (0-1).
cloze_predictability,Proportion of norming participants who produced this exact word form in a cloze task (0-1).
comprehension_score,Participant's overall proportion or percentage of correct comprehension answers in the session.
condition,Experimental condition assigned to the trial.
constituent_1,The first constituent of the compound word.
constituent_1_contribution,"Participant's rating of how much constituent_1 contributes to the compound's overall meaning (integer, 0â€“5; 0 = not at all, 5 = greatly)."
constituent_2,The second constituent of the compound word.
constituent_2_contribution,"Participant's rating of how much constituent_2 contributes to the compound's overall meaning (integer, 0â€“5; 0 = not at all, 5 = greatly)."
correct_answer_position,On-screen position of the correct answer in a multiple-choice question.
correct_response,"The response that would have been correct on this trial -- the expected answer itself, not whether the participant gave it. Use accuracy for correctness."
country_of_birth,Participant's country of birth.
country_of_residence,Participant's current country of residence.
cumulative_rt,"Time from the onset of the round to this response, in milliseconds; the running total of rt within the round."
difficulty_level,"Version of the text presented, where a study manipulates text difficulty (e.g. original vs simplified)."
distractor_letter,The incorrect alternative in a forced choice between two letters.
dmdx_item_code,"Item code assigned by the DMDX presentation software, encoding the experimental list, the design factors and the item number in its digits."
dominance,Participant's dominance or perceived-control rating for the stimulus.
education,Highest completed education level of the participant.
experiment,"Identifier for the experiment, sub-experiment, or condition a row belongs to, where a study contributes more than one."
exposure_duration_ms,Duration in milliseconds for which the stimulus was presented.
first_fixation_duration,Duration of the first fixation on a word in milliseconds (eye-tracking).
first_key_RT,Time from text-box onset to first typed key (ms).
first_language,Participant's native or first-acquired language.
fixation_count,Number of fixations landing on a word (eye-tracking).
fluency_list_id,"Fluency round a response belongs to, numbered from 0 within each participant. One round is one timed attempt at one category cue."
gaze_duration,"Sum of fixations on a word during the first run through it, in milliseconds (eye-tracking)."
gender,Self-reported or observed gender identity of the participant.
go_past_time,"Time from first entering a word until moving past it to the right, including regressions, in milliseconds (eye-tracking)."
gustatory_rating,Participant's gustatory perceptual-strength rating for the stimulus.
H_statistic,Entropy of the name distribution for the image (bits).
handedness,Participant's self-reported handedness.
haptic_rating,Participant's haptic perceptual-strength rating for the stimulus.
idiosyncratic_osullivan_et_al,Count of idiosyncratic (singleton) responses per O'Sullivan coding scheme.
image_filename,Filename or identifier for the presented image.
is_category_mismatch,"Flag marking a response whose category label disagrees with the majority label of the round it is stored in, i.e. one filed under the wrong round. The label itself is left as recorded."
is_first_pass_skipped,Binary indicator of whether a word was skipped during first-pass reading. A first-pass skipped word may still be fixated later during a regression.
is_fixated,Binary indicator of whether a word received any fixation at all (eye-tracking).
is_invalid,Flag marking invalid responses (missing/non-word/timed-out).
is_modal,Whether the response equals the modal name for that image.
is_natural,Whether the object is a natural kind (true/false).
is_regressed_into,Binary indicator of whether a regression entered a word (eye-tracking).
is_regressed_out_of,Binary indicator of whether a regression left a word (eye-tracking).
is_repeated_reading,Binary indicator of whether a trial is a repeated reading of previously presented material.
is_repeated_response,Flag marking a response already given earlier in the same round (a perseveration).
is_rt_outlier,Flag marking RT outliers removed from RT analyses.
is_timeout,Binary indicator of whether the response deadline elapsed without a response.
item_id,"Identifier of the stimulus item, shared by every participant who saw it. Distinct from trial_id, which identifies one participant's trial."
lab,Data collection site or laboratory where the session was run (multi-site studies).
letter_position,Position of the probed letter within the presented letter string (1-indexed; counted from the left).
letter_similarity_hmax,Visual similarity of a pair of letters derived from an HMAX computational model of visual cortex; runs from 0 to 1 and reaches 1 for a letter compared with itself.
letter_similarity_human,Human-rated visual similarity of a pair of letters; higher values indicate greater similarity.
lexicality,Lexical status of the letter string: a real word or a pseudoword/nonword.
lextale_score,Participant's score on the LexTALE vocabulary test.
list,Experimental list number (1-8). Items were distributed across 8 lists.
list_id,Experimental list number (0-indexed); indicates which list file the stimulus appeared in.
modalWordFreq,Frequency (e.g. Zipf) of the modal response word.
modalWordLength,Number of characters in modal name.
