participant_id,trial_order,cue_id,stimulus,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10,response11,response12,response13,response14,response15,response16,response17,response18,response19,response20,first_key_RT1,first_key_RT2,first_key_RT3,first_key_RT4,first_key_RT5,first_key_RT6,first_key_RT7,first_key_RT8,first_key_RT9,first_key_RT10,first_key_RT11,first_key_RT12,first_key_RT13,first_key_RT14,first_key_RT15,first_key_RT16,first_key_RT17,first_key_RT18,first_key_RT19,first_key_RT20
1,1,2,BATTLE,WAR,FIGHT,ARMY,SOLDIERS,COUNTYS,WEAPONS,HURT,FIGHTING,COMBAT,CASUALTY,HURT,WOUNDS,SCARS,WRONG,BOMBS,DESTRUCTION,CRY,WEEP,AVENGE,REASONS,2081.4,1969.2,255.2,2068.6,4935.5,5479.3,761.0,4169.7,547.0,2054.4,1579.8,989.4,1079.0,1039.8,2917.8,1182.7,6533.8,1186.8,1869.8,1319.4
1,2,11,FOLD,CREASE,PAPER,NEWSPAPER,BOOK,ENVELOPE,WRAP,BED,BLANKET,CLOTHES,SHEET,PILLOWCASE,RUG,PASTRY,SMALL,ACTION,CARD,CRAFTS,DUVET,JEANS,TIP,2197.0,1344.7,377.8,423.1,2283.6,1136.8,1069.0,625.7,1074.7,600.3,1168.4,2640.4,2036.1,3250.7,4590.0,1348.3,1073.6,2667.1,1897.8,1278.4
1,3,16,HEROIN,DRUG,BAD,ILLNESS,HABIT,WHITE,NEEDLE,DRUGS,POORLY,HIGH,EFFECTS,WEAN,PILLS,POWDER,SYRINGE,HOSPITAL,ADDICTION,SPOTS,UNKEMPTS,SCRUFFY,BAD,2724.0,927.9,1079.4,485.2,315.5,1047.9,1313.5,2870.1,5576.1,1093.1,3950.5,3148.5,1054.2,325.4,971.9,1967.0,2814.8,1042.1,997.4,1161.3
1,4,17,KIDNEY,BEANS,RED,BLACK,CHILI,CANCER,BLOOD,INFECTION,WATER,DRINK,FILTER,MACHINES,HURT,PAIN,INFECTION,BODY,SYSTEM,DIALYSIS,TRANSPLANT,ILLNESS,DONATE,2350.8,1191.3,1687.9,929.4,935.7,1421.0,1071.4,1047.5,1077.9,1357.6,3513.1,1484.0,1199.1,989.3,2138.6,1126.0,1315.6,4279.0,1142.5,1329.1
1,5,20,MAGNIFY,GLASS,LARGE,BIGGER,READ,SEE,ENLARGE,HUGE,CLEAR,SEE,HELP,GLASSES,CONTACTS,BOOKS,SMALL,HUGE,SPECIMEN,BIOLOGY,LABS,CELLS,MINUTE,1485.6,825.6,1161.6,1062.0,969.1,1022.7,2846.3,1083.0,1584.2,1948.4,10130.0,7122.6,1488.1,691.9,9633.1,1150.7,4640.6,1172.1,1105.6,1418.0
1,6,21,MONASTERY,MONK,NUNS,GOD,HILLS,OLD,BUILDING,PRAYERS,SERVICE,HABITS,GONG,CHURCH,RELIGION,GARDENS,PRAY,BIBLE,BELIEVE,CASTLES,ROOMS,MEN,ROBES,1909.4,992.3,656.3,2326.3,1001.1,1030.7,1538.6,3201.4,2556.6,1238.0,1024.0,1032.4,2838.8,4959.3,1315.8,1062.6,5627.5,3889.9,5680.7,5484.1
1,7,29,RADIO,MUSIC,PRESENTERS,CAR,NEW,WEATHER,SHOW,BBC,SONGS,ARTISTS,CAR,PERSONAL,STEREO,HEADPHONES,NOISE,LOUD,DANCE,HITS,SING,MORNING,EVENING,1190.1,1159.2,607.7,1069.1,832.0,370.6,1248.2,3664.5,960.3,1123.1,981.1,996.2,1268.2,1775.8,1342.1,748.2,3435.6,1246.6,4907.8,1071.1
1,8,32,SPANK,HIT,SLAP,KINKY,BELT,HAND,PUNCH,BLOW,ABUSE,GAMES,LEATHER,WHIP,NAUGHTY,LEATHER,BAD,KINKS,GAMES,HURT,PLAY,NORMAL,HURT,1422.5,634.5,1522.3,1353.8,527.3,1862.3,1375.6,3770.5,1178.9,1090.7,1124.6,4498.6,9312.8,9554.5,5058.4,1625.5,5749.5,1122.7,3071.8,4541.3
1,9,36,STOMACH,ACHE,PAIN,PILLS,FOOD,DIGESTION,DIGESTIVE,HUNGRY,EATING,CANCER,BELLY,BUTTON,TUMMY,BLOATED,FAT,RUMBLE,PUNCH,DRINK,WIND,DINNER,BELT,1562.3,1146.7,1479.3,1043.7,1201.1,1156.3,1764.5,998.4,1791.4,3586.0,834.6,4003.7,1627.5,4616.2,1267.3,3175.9,3668.0,2296.6,11646.1,4326.5
1,10,37,TEXTILE,MILLS,MATERIAL,WOOL,FACTORY,GARMENTS,MACHINE,MATERIAL,CLOTHES,SEWING,WORKERS,COTTON,LINEN,WOOD,LEATHER,BAGS,SHEEP,SHOES,FABRIC,COLORS,KNIT,1224.6,1628.1,4161.3,517.5,3804.2,612.5,2447.2,974.6,339.0,1621.3,1264.5,1072.1,1124.5,1330.1,2766.3,1052.5,5353.0,7246.7,1409.2,2624.5
