Recommended Column Name,Description
accuracy,Binary indicator of whether the participant's response was correct.
item_id,"Identifier of the stimulus item, shared by every participant who saw it. Distinct from trial_id, which identifies one participant's trial."
lexicality,Variable with two levels denoting lexical status of the sequence of letters (word and pseudoword).
list,Experimental list number (1-8). Items were distributed across 8 lists.
participant_id,Unique identifier assigned to each participant.
phase_id,Identifier for the experimental phase or block a trial belongs to (e.g.
phonological_ambiguity,Feature of the orthographic sequence having phonological mapping in two alphabets.
response,Participant's response
rt,Time taken by the participant to respond
rt_measure,What rt measures in this dataset: keypress (stimulus-locked key or button press latency).
stimulus,The linguistic stimulus presented to the participant in a given trial.
target_alphabet,Alphabet of target presentation.
trial_order,Presentation order within the session (0-indexed). The order in which the participant saw this trial.
