"list","participant_id","trial_id","stimulus","trial_order","lexicality","response","accuracy","rt","rt_measure"
"PRIDEVI_B","subject-82.csv",73,"REDOVNOJ",1,"rec","1",1,977,"keypress"
"PRIDEVI_B","subject-82.csv",210,"TILBINOJ",2,"pseudorec","3",1,807,"keypress"
"PRIDEVI_B","subject-82.csv",144,"LOTIVOM",3,"pseudorec","3",1,1039,"keypress"
"PRIDEVI_B","subject-82.csv",165,"VILAVOM",4,"pseudorec","3",1,1242,"keypress"
"PRIDEVI_B","subject-82.csv",86,"STRAŠNOG",5,"rec","1",1,779,"keypress"
"PRIDEVI_B","subject-82.csv",89,"SUROVOG",6,"rec","1",1,642,"keypress"
"PRIDEVI_B","subject-82.csv",72,"RATNOM",7,"rec","1",1,571,"keypress"
"PRIDEVI_B","subject-82.csv",64,"POZNATOJ",8,"rec","1",1,611,"keypress"
"PRIDEVI_B","subject-82.csv",100,"VRELOJ",9,"rec","1",1,690,"keypress"
"PRIDEVI_B","subject-82.csv",128,"RIGONOG",10,"pseudorec","3",1,991,"keypress"
"PRIDEVI_B","subject-82.csv",94,"TUŽNOJ",11,"rec","1",1,678,"keypress"
"PRIDEVI_B","subject-82.csv",137,"LOZANOG",12,"pseudorec","3",1,1002,"keypress"
"PRIDEVI_B","subject-82.csv",164,"PLOSTOM",13,"pseudorec","3",1,813,"keypress"
"PRIDEVI_B","subject-82.csv",35,"MALENOG",14,"rec","1",1,671,"keypress"
"PRIDEVI_B","subject-82.csv",18,"FILMSKOM",15,"rec","1",1,640,"keypress"
"PRIDEVI_B","subject-82.csv",118,"MUŽIVOG",16,"pseudorec","1",0,670,"keypress"
"PRIDEVI_B","subject-82.csv",161,"SUDAVOM",17,"pseudorec","3",1,881,"keypress"
"PRIDEVI_B","subject-82.csv",119,"ZORAVOG",18,"pseudorec","3",1,1069,"keypress"
"PRIDEVI_B","subject-82.csv",96,"UPORNOM",19,"rec","1",1,894,"keypress"
"PRIDEVI_B","subject-82.csv",136,"RELENOG",20,"pseudorec","3",1,706,"keypress"
"PRIDEVI_B","subject-82.csv",145,"KESANOM",21,"pseudorec","1",0,666,"keypress"
"PRIDEVI_B","subject-82.csv",46,"NEČUJNOJ",22,"rec","1",1,1220,"keypress"
"PRIDEVI_B","subject-82.csv",28,"KRATKOJ",23,"rec","1",1,697,"keypress"
"PRIDEVI_B","subject-82.csv",20,"GORKOG",24,"rec","1",1,678,"keypress"
"PRIDEVI_B","subject-82.csv",2,"BESKRAJNOG",25,"rec","1",1,763,"keypress"
"PRIDEVI_B","subject-82.csv",11,"ČVRSTOG",26,"rec","1",1,644,"keypress"
"PRIDEVI_B","subject-82.csv",92,"TANKOG",27,"rec","1",1,896,"keypress"
"PRIDEVI_B","subject-82.csv",200,"LANKOJ",28,"pseudorec","3",1,836,"keypress"
"PRIDEVI_B","subject-82.csv",116,"LURIVOG",29,"pseudorec","3",1,864,"keypress"
"PRIDEVI_B","subject-82.csv",139,"KLUSTOG",30,"pseudorec","3",1,940,"keypress"
"PRIDEVI_B","subject-82.csv",24,"JAKOM",31,"rec","1",1,748,"keypress"
"PRIDEVI_B","subject-82.csv",79,"SLAVNOJ",32,"rec","1",1,680,"keypress"
