Recommended Column Name,Description
age,Age of the participant at the time of the experiment.
country_of_residence,Participant's current country of residence.
education,Highest completed education level of the participant.
gender,Self-reported or observed gender identity of the participant.
handedness,If participant is right or left handed
participant_id,Unique identifier assigned to each participant.
response,Participant's response
rt,"Time taken by the participant to respond, in milliseconds."
rt_measure,What rt measures in this dataset: keypress (stimulus-locked key or button press latency).
stimulus,The linguistic or visual stimulus presented to the participant in a given trial.
years_spent_in_countries_of_residence,How many years the participant spent in the country of residence.
