Recommended Column Name,Description
accuracy,Binary indicator of whether the participant's response was correct
age,Age of the participant at the time of the experiment.
clinical_diagnoses,Any reported or documented clinical conditions relevant to cognitive
first_language,Participant's native or first-acquired language.
gender,Self-reported or observed gender identity of the participant.
other_languages,Languages learned after the first language
participant_id,Unique identifier assigned to each participant.
response,Participant's response
stimulus,The linguistic or visual stimulus presented to the participant in a given trial.
trial_id,Unique identifier for a single trial within a session or condition.
