"list","participant_id","trial_id","stimulus","trial_order","lexicality","response","accuracy","rt","rt_measure"
"EXP_BIG_DATA1",10,312,"SLUĐA",1,"pseudorec","3",1,600,"keypress"
"EXP_BIG_DATA1",10,311,"STRIDA",2,"pseudorec","3",1,748,"keypress"
"EXP_BIG_DATA1",10,305,"STRUJA",3,"rec","1",1,574,"keypress"
"EXP_BIG_DATA1",10,303,"TON",4,"rec","1",1,1023,"keypress"
"EXP_BIG_DATA1",10,308,"MEKST",5,"pseudorec","3",1,550,"keypress"
"EXP_BIG_DATA1",10,309,"MON",6,"pseudorec","3",1,544,"keypress"
"EXP_BIG_DATA1",10,301,"IMEJL",7,"rec","1",1,521,"keypress"
"EXP_BIG_DATA1",10,306,"PLUĆA",8,"rec","1",1,446,"keypress"
"EXP_BIG_DATA1",10,304,"VIBRACIJA",9,"rec","1",1,508,"keypress"
"EXP_BIG_DATA1",10,302,"TEKST",10,"rec","1",1,444,"keypress"
"EXP_BIG_DATA1",10,307,"IČALO",11,"pseudorec","3",1,465,"keypress"
"EXP_BIG_DATA1",10,310,"GUKRAČIJA",12,"pseudorec","3",1,474,"keypress"
"EXP_BIG_DATA1",10,118,"METEL",13,"pseudorec","3",1,465,"keypress"
"EXP_BIG_DATA1",10,131,"PJOSA",14,"pseudorec","3",1,427,"keypress"
"EXP_BIG_DATA1",10,40,"NASLAGA",15,"rec","1",1,685,"keypress"
"EXP_BIG_DATA1",10,51,"SNIMAK",16,"rec","1",1,422,"keypress"
"EXP_BIG_DATA1",10,173,"OBOLM",17,"pseudorec","3",1,473,"keypress"
"EXP_BIG_DATA1",10,50,"PUBLIKA",18,"rec","1",1,466,"keypress"
"EXP_BIG_DATA1",10,120,"SRUDERA",19,"pseudorec","3",1,486,"keypress"
"EXP_BIG_DATA1",10,63,"POBUDA",20,"rec","1",1,466,"keypress"
"EXP_BIG_DATA1",10,168,"GENDA",21,"pseudorec","3",1,445,"keypress"
"EXP_BIG_DATA1",10,53,"VARKA",22,"rec","1",1,672,"keypress"
"EXP_BIG_DATA1",10,80,"MEHUR",23,"rec","1",1,499,"keypress"
"EXP_BIG_DATA1",10,166,"ALJBATOV",24,"pseudorec","3",1,465,"keypress"
"EXP_BIG_DATA1",10,153,"VANTA",25,"pseudorec","3",1,601,"keypress"
"EXP_BIG_DATA1",10,56,"SRICANJE",26,"rec","3",0,640,"keypress"
"EXP_BIG_DATA1",10,124,"DOBLANJE",27,"pseudorec","3",1,522,"keypress"
"EXP_BIG_DATA1",10,102,"POCOLA",28,"pseudorec","3",1,556,"keypress"
"EXP_BIG_DATA1",10,44,"ZVEKA",29,"rec","1",1,470,"keypress"
"EXP_BIG_DATA1",10,73,"OBRVA",30,"rec","1",1,466,"keypress"
"EXP_BIG_DATA1",10,15,"PASOŠ",31,"rec","1",1,546,"keypress"
"EXP_BIG_DATA1",10,34,"KAJMAK",32,"rec","1",1,524,"keypress"
