participant_id,stimulus,rt,response,response_corrected,trial_order,age,participant_age_group,gender,rt_measure
1,Tiere,863.9229024943311,maus,Maus,0,75,older,female,session_elapsed
1,Tiere,1453.968253968254,ratte,Ratte,0,75,older,female,session_elapsed
1,Tiere,2304.9659863945576,hamster,Hamster,0,75,older,female,session_elapsed
1,Tiere,3679.297052154195,wildschwein,Wildschwein,0,75,older,female,session_elapsed
1,Tiere,5611.904761904762,dachs,Dachs,0,75,older,female,session_elapsed
1,Tiere,7553.10657596372,baer,Baer,0,75,older,female,session_elapsed
1,Tiere,8297.052154195011,wolf,Wolf,0,75,older,female,session_elapsed
1,Tiere,9164.013605442176,loewe,Loewe,0,75,older,female,session_elapsed
1,Tiere,10270.657596371882,"dackel,dachshund",Dackel,0,75,older,female,session_elapsed
1,Tiere,11846.371882086169,siamkatze,Siamkatze,0,75,older,female,session_elapsed
1,Tiere,12685.80498866213,perserkatze,Perserkatze,0,75,older,female,session_elapsed
1,Tiere,14099.68253968254,angorakatze,Angorakaninchen,0,75,older,female,session_elapsed
1,Tiere,15426.916099773242,luchs,Luchs,0,75,older,female,session_elapsed
1,Tiere,16185.555555555557,wildkatze,Wildkatze,0,75,older,female,session_elapsed
1,Tiere,17518.299319727892,rabe,Rabe,0,75,older,female,session_elapsed
1,Tiere,18488.231292517008,elster,Elster,0,75,older,female,session_elapsed
1,Tiere,20424.603174603173,schmetterling,Schmetterling,0,75,older,female,session_elapsed
1,Tiere,25854.988662131516,schneeadler,NA,0,75,older,female,session_elapsed
1,Tiere,28437.48299319728,geier,Geier,0,75,older,female,session_elapsed
1,Tiere,30573.69614512472,robbe,Robbe,0,75,older,female,session_elapsed
1,Tiere,31990.113378684808,delfin,Delfin,0,75,older,female,session_elapsed
1,Tiere,33309.54648526078,hai,Hai,0,75,older,female,session_elapsed
1,Tiere,35929.2970521542,forelle,Forelle,0,75,older,female,session_elapsed
1,Tiere,37254.489795918365,karpfen,Karpfen,0,75,older,female,session_elapsed
1,Tiere,39731.700680272115,guppy,Guppy,0,75,older,female,session_elapsed
1,Tiere,40931.65532879819,frosch,Frosch,0,75,older,female,session_elapsed
1,Tiere,42133.333333333336,kroete,Kroete,0,75,older,female,session_elapsed
1,Tiere,44497.48299319728,ameise,Ameise,0,75,older,female,session_elapsed
1,Tiere,45734.3537414966,biene,Biene,0,75,older,female,session_elapsed
1,Tiere,47641.26984126984,blattlaus,Blattlaus,0,75,older,female,session_elapsed
1,Tiere,48859.02494331066,marienkaefer,Marienkaefer,0,75,older,female,session_elapsed
1,Tiere,50286.34920634921,maikaefer,Maikaefer,0,75,older,female,session_elapsed
1,Tiere,51849.2970521542,hirschkaefer,Hirschkaefer,0,75,older,female,session_elapsed
1,Tiere,55439.342403628114,skorpion,Skorpion,0,75,older,female,session_elapsed
1,Tiere,56619.61451247166,spinne,Spinne,0,75,older,female,session_elapsed
1,Tiere,58161.76870748299,weberknecht,Weberknecht,0,75,older,female,session_elapsed
1,Tiere,59977.755102040814,kreuzspinne,Kreuzspinne,0,75,older,female,session_elapsed
1,Tiere,61376.46258503401,tarantel,Tarantel,0,75,older,female,session_elapsed
1,Tiere,62912.834467120185,schlange,Schlange,0,75,older,female,session_elapsed
1,Tiere,64747.25623582766,anakonda,Anakonda,0,75,older,female,session_elapsed
1,Tiere,67232.58503401361,python,Python,0,75,older,female,session_elapsed
1,Tiere,70340.81632653062,kobra,Kobra,0,75,older,female,session_elapsed
