participant_id,stimulus,rt,response,response_corrected,age,participant_age_group,gender,rt_measure
1101,Tiere,1367.3015873015872,hund,hund,22,younger,male,session_elapsed
1101,Tiere,1956.7573696145123,katze,katze,22,younger,male,session_elapsed
1101,Tiere,2641.9727891156463,pferd,pferd,22,younger,male,session_elapsed
1101,Tiere,3677.619047619048,affe,affe,22,younger,male,session_elapsed
1101,Tiere,4189.591836734694,schwein,schwein,22,younger,male,session_elapsed
1101,Tiere,5170.566893424036,kuh,kuh,22,younger,male,session_elapsed
1101,Tiere,8380.47619047619,wiesel,wiesel,22,younger,male,session_elapsed
1101,Tiere,11030.47619047619,eisbär,eisbär,22,younger,male,session_elapsed
1101,Tiere,12423.356009070294,braunbär,braunbär,22,younger,male,session_elapsed
1101,Tiere,18669.863945578232,siamkatze,siamkatze,22,younger,male,session_elapsed
1101,Tiere,19523.492063492064,perserkatze,perserkatze,22,younger,male,session_elapsed
1101,Tiere,20616.167800453513,schäferhund,schäferhund,22,younger,male,session_elapsed
1101,Tiere,21423.514739229024,boxer,boxer,22,younger,male,session_elapsed
1101,Tiere,22639.68253968254,gottesanbeterin,gottesanbeterin,22,younger,male,session_elapsed
1101,Tiere,23670.090702947848,vogelspinne,vogelspinne,22,younger,male,session_elapsed
1101,Tiere,26789.97732426304,wespe,wespe,22,younger,male,session_elapsed
1101,Tiere,27502.13151927438,biene,biene,22,younger,male,session_elapsed
1101,Tiere,29205.60090702948,meerschweinchen,meerschweinchen,22,younger,male,session_elapsed
1101,Tiere,32289.047619047626,hase,hase,22,younger,male,session_elapsed
1101,Tiere,34864.78458049886,schlange,schlange,22,younger,male,session_elapsed
1101,Tiere,36459.04761904762,python,python,22,younger,male,session_elapsed
1101,Tiere,37021.337868480725,boa,boa,22,younger,male,session_elapsed
1101,Tiere,39699.54648526077,viper,viper,22,younger,male,session_elapsed
1101,Tiere,40836.50793650794,schwarze mamba,schwarze mamba,22,younger,male,session_elapsed
1101,Tiere,43673.62811791384,grüne mamba,grüne mamba,22,younger,male,session_elapsed
1101,Tiere,45054.60317460317,taipan,taipan,22,younger,male,session_elapsed
1101,Tiere,48700.31746031746,koalabär,koalabär,22,younger,male,session_elapsed
1101,Tiere,49601.65532879819,känguru,känguru,22,younger,male,session_elapsed
1101,Tiere,50336.07709750567,wombat,wombat,22,younger,male,session_elapsed
1101,Tiere,53613.71882086168,papagei,papagei,22,younger,male,session_elapsed
1101,Tiere,55412.789115646265,ara,ara,22,younger,male,session_elapsed
1101,Tiere,55979.93197278912,graupapagei,graupapagei,22,younger,male,session_elapsed
1101,Tiere,60004.73922902494,ruris,NA,22,younger,male,session_elapsed
1101,Tiere,62004.53514739229,meerkatzen,meerkatzen,22,younger,male,session_elapsed
1101,Tiere,64553.741496598646,pinguin,pinguin,22,younger,male,session_elapsed
1101,Tiere,65677.46031746031,häsepinguine,NA,22,younger,male,session_elapsed
1101,Tiere,68332.67573696145,nashorn,nashorn,22,younger,male,session_elapsed
1101,Tiere,70834.60317460318,löwe,löwe,22,younger,male,session_elapsed
1101,Tiere,73339.97732426305,zebra,zebra,22,younger,male,session_elapsed
1101,Tiere,74354.78458049888,kapis,NA,22,younger,male,session_elapsed
1101,Tiere,82460.72562358278,maus,maus,22,younger,male,session_elapsed
1101,Tiere,84964.73922902494,fuchs,fuchs,22,younger,male,session_elapsed
1101,Tiere,85840.38548752836,wildschwein,wildschwein,22,younger,male,session_elapsed
1101,Tiere,86644.98866213152,reh,reh,22,younger,male,session_elapsed
1101,Tiere,88464.67120181405,hirsch,hirsch,22,younger,male,session_elapsed
1101,Tiere,92381.24716553288,marder,marder,22,younger,male,session_elapsed
1101,Tiere,95738.34467120182,adler,adler,22,younger,male,session_elapsed
1101,Tiere,97126.05442176871,sperber,sperber,22,younger,male,session_elapsed
1101,Tiere,97742.2448979592,falke,falke,22,younger,male,session_elapsed
1101,Tiere,99915.98639455784,blaumeise,blaumeise,22,younger,male,session_elapsed
1101,Tiere,100640.79365079364,kohlmeise,kohlmeise,22,younger,male,session_elapsed
1101,Tiere,103961.02040816328,rabe,rabe,22,younger,male,session_elapsed
1101,Tiere,105683.33333333334,bussard,bussard,22,younger,male,session_elapsed
1101,Tiere,109267.34693877552,eichelhäher,eichelhäher,22,younger,male,session_elapsed
1101,Tiere,115484.87528344672,reiher,reiher,22,younger,male,session_elapsed
1101,Tiere,116840.589569161,schneeeule,schneeeule,22,younger,male,session_elapsed
1101,Tiere,119471.85941043084,kätzchen,kätzchen,22,younger,male,session_elapsed
1101,Tiere,122265.283446712,schneeleopard,schneeleopard,22,younger,male,session_elapsed
1101,Tiere,124065.39682539683,leopard,leopard,22,younger,male,session_elapsed
1101,Tiere,126190.8163265306,gepard,gepard,22,younger,male,session_elapsed
1101,Tiere,133401.4739229025,shire horse,shire horse,22,younger,male,session_elapsed
1101,Tiere,135066.3492063492,araber,araber,22,younger,male,session_elapsed
1101,Tiere,144792.42630385488,gorilla,gorilla,22,younger,male,session_elapsed
1101,Tiere,146177.21088435373,orang-utan,orang-utan,22,younger,male,session_elapsed
1101,Tiere,147146.21315192746,schimpanse,schimpanse,22,younger,male,session_elapsed
1101,Tiere,150845.32879818592,border collie,border collie,22,younger,male,session_elapsed
1101,Tiere,156781.67800453515,raupe,raupe,22,younger,male,session_elapsed
1101,Tiere,158686.07709750565,mistkäfer,mistkäfer,22,younger,male,session_elapsed
1101,Tiere,162271.22448979592,tausendfüssler,tausendfüßler,22,younger,male,session_elapsed
1101,Tiere,165359.6598639456,hausspinne,hausspinne,22,younger,male,session_elapsed
1101,Tiere,169666.16780045352,silberfisch,silberfisch,22,younger,male,session_elapsed
1101,Tiere,173223.7188208617,wal,wal,22,younger,male,session_elapsed
1101,Tiere,173652.49433106574,delfin,delfin,22,younger,male,session_elapsed
1101,Tiere,174471.17913832198,"orca, schwertwal",orca,22,younger,male,session_elapsed
1101,Tiere,175784.21768707482,makrele,makrele,22,younger,male,session_elapsed
1101,Tiere,176530.27210884355,thunfisch,thunfisch,22,younger,male,session_elapsed
1101,Tiere,179532.83446712018,krebs,krebs,22,younger,male,session_elapsed
1101,Tiere,181283.17460317464,clownfisch,clownfisch,22,younger,male,session_elapsed
