uniqSubId,vocabulary_score,spelling_score
Arizona_01/16/2013_11:27:14_MK,0.6,0.670732
Arizona_10/22/2012_11:00:46_VA,0.725,0.756098
Arizona_10/22/2012_13:00:36_DM,0.65,0.841463
Arizona_10/25/2012_09:53:32_JA,0.7,0.890244
Arizona_10/25/2012_12:08:59_LW,0.575,0.621951
Arizona_10/29/2012_10:02:29_KS,0.65,0.817073
Arizona_10/29/2012_12:31:54_EJN,0.7,0.963415
Arizona_10/31/2012_09:54:50_JA,0.675,0.695122
Arizona_10/31/2012_11:02:13_LP,0.625,0.585366
Arizona_11/05/2012_09:56:07_MC,0.7,0.780488
Arizona_11/05/2012_12:47:56_JB,0.65,0.621951
Arizona_11/07/2012_10:02:08_JR,0.425,0.597561
Arizona_11/07/2012_11:57:22_WF,0.7,0.731707
Arizona_11/14/2012_10:11:22_HL,0.525,0.658537
Arizona_11/14/2012_11:18:11_EP,0.75,0.853659
Arizona_11/16/2012_09:58:05_TR,0.625,0.768293
Arizona_11/16/2012_11:20:02_ECS,0.75,0.853659
Arizona_11/26/2012_10:09:35_SC,0.85,0.841463
Arizona_11/26/2012_11:21:55_SG,0.7,0.658537
Arizona_11/26/2012_12:22:36_CT,0.525,0.621951
Arizona_11/28/2012_09:59:33_MO,0.45,0.52439
Arizona_12/03/2012_10:03:01_MG,0.6,0.670732
Arizona_12/03/2012_11:03:44_AV,0.75,0.670732
Arizona_12/03/2012_12:44:27_BH,0.725,0.670732
Arizona_12/04/2012_09:50:59_SF,0.725,0.634146
Arizona_12/04/2012_10:51:50_JC,0.65,0.682927
Arizona_12/04/2012_12:27:31_FD,0.5,0.573171
Arizona_12/05/2012_14:46:28_KT,0.575,0.670732
Bristol_02/06/2013_14:13:12_31,0.8,0.817073
Bristol_02/06/2013_14:16:43_32,0.775,0.768293
Bristol_02/06/2013_15:20:54_34,0.825,0.878049
Bristol_02/06/2013_15:23:45_33,0.675,0.585366
Bristol_02/25/2013_13:23:05_36,0.65,0.719512
Bristol_02/27/2013_12:15:58_37,0.7,0.780488
Bristol_02/27/2013_12:16:29_38,0.775,0.780488
Bristol_02/27/2013_13:17:38_35,0.8,0.768293
Bristol_02/27/2013_13:23:21_39,0.875,0.841463
Bristol_02/28/2013_12:11:09_42,0.75,0.817073
Bristol_02/28/2013_12:23:12_40,0.85,0.731707
Bristol_02/28/2013_12:24:46_41,0.825,0.768293
Bristol_02/28/2013_13:17:41_43,0.675,0.743902
Bristol_02/28/2013_13:22:57_44,0.85,0.780488
Bristol_03/04/2013_11:37:20_45,0.725,0.804878
Bristol_03/04/2013_11:44:46_46,0.75,0.792683
Bristol_03/04/2013_11:47:01_47,0.575,0.731707
Bristol_03/04/2013_13:16:43_48,0.8,0.670732
Bristol_03/04/2013_13:21:44_50,0.75,0.719512
Bristol_03/04/2013_13:23:09_49,0.85,0.682927
Bristol_03/04/2013_14:16:52_52,0.7,0.804878
Bristol_03/05/2013_12:38:39_51,0.7,0.890244
Bristol_03/05/2013_13:48:44_53,0.75,0.853659
Bristol_03/05/2013_13:54:24_54,0.825,0.865854
Bristol_03/07/2013_12:25:32_57,0.825,0.817073
Bristol_03/07/2013_12:26:22_56,0.75,0.829268
Bristol_03/07/2013_13:10:29_55,0.775,0.902439
Bristol_03/07/2013_13:17:26_58,0.7,0.853659
Bristol_03/07/2013_13:28:33_59,0.7,0.47561
Bristol_11/07/2012_12:37:37_1,0.875,0.743902
Bristol_11/07/2012_15:22:50_2,0.625,0.841463
Bristol_11/08/2012_14:43:48_3,0.8,0.731707
Bristol_11/12/2012_14:22:49_6,0.675,0.756098
Bristol_11/12/2012_14:28:46_4,0.575,0.634146
Bristol_11/12/2012_14:29:28_5,0.675,0.731707
Bristol_11/13/2012_16:11:43_9,0.75,0.768293
Bristol_11/13/2012_16:21:33_8,0.7,0.829268
Bristol_11/13/2012_16:22:42_7,0.725,0.707317
Bristol_11/19/2012_14:22:18_11,0.45,0.756098
Bristol_11/19/2012_14:31:52_10,0.6,0.695122
Bristol_11/20/2012_16:21:21_12,0.675,0.780488
Bristol_11/20/2012_16:24:47_13,0.7,0.768293
Bristol_11/21/2012_13:39:38_14,0.75,0.780488
Bristol_11/21/2012_13:51:49_16,1.0,0.792683
Bristol_11/21/2012_13:54:18_15,0.65,0.780488
Bristol_11/28/2012_12:11:20_17,0.625,0.719512
Bristol_11/28/2012_13:40:54_18,0.8,0.865854
