targetNum,lexStatus,target,prime_cond1,prime_cond2,prime_cond3,prime_cond4,prime_cond5,prime_cond6,prime_cond7,prime_cond8,prime_cond9,prime_cond10,prime_cond11,prime_cond12,prime_cond13,prime_cond14,prime_cond15,prime_cond16,prime_cond17,prime_cond18,prime_cond19,prime_cond20,prime_cond21,prime_cond22,prime_cond23,prime_cond24,prime_cond25,prime_cond26,prime_cond27,prime_cond28
1,1,ABDUCT,abduct,baduct,abdcut,abdutc,audbct,acdubt,abdct,abduc,abct,baudtc,uctabd,abd,dbatcu,uacbtd,atcudb,vbduct,abdfct,abduch,admuct,abnyct,abdxuct,abdqsuct,apgekt,zabduct,abductf,abdppuct,vphqnm,elighs
2,1,ABOUND,abound,baound,abuond,aboudn,abnuod,anoubd,aboud,aboun,abnd,bauodn,undabo,und,obadnu,uanbdo,adnuob,vbound,aboqnd,abounz,abuxnd,abjvnd,aboxund,aboycund,aerxjd,labound,aboundg,aboggund,tqjrel,lemish
3,1,ABRUPT,abrupt,barupt,abrput,abrutp,abpurt,aprubt,abrpt,abrup,abpt,baurtp,uptabr,abr,rbatpu,uapbtr,atpurb,zbrupt,abruot,abrupj,abnrpt,abyspt,abrhupt,abrqjupt,aelwvt,iabrupt,abruptf,abryyupt,okexcd,cledio
4,1,ABSENT,absent,basent,abesnt,absetn,abnest,ansebt,asent,absen,abnt,baestn,entabs,abs,sbatne,eanbts,atnesb,xbsent,absynt,absenr,abeynt,abvrnt,absxent,absmfent,ayxdwt,qabsent,absentl,abszzent,kxvjop,dockup
5,1,ABSURD,absurd,basurd,absrud,absudr,abrusd,arsubd,asurd,absur,abrd,bausdr,urdabs,urd,sbadru,uarbds,adrusb,qbsurd,abslrd,absure,abukrd,abxcrd,absmurd,abstzurd,anegtd,zabsurd,absurdq,abszzurd,nzhocm,celigh
6,1,ADJUST,adjust,dajust,adjsut,adjuts,aujdst,asjudt,adust,adjus,adst,daujts,ustadj,ust,jdatsu,uasdtj,atsujd,cdjust,adcust,adjusl,adubst,adzfst,adjxust,adjzbust,awbxpt,eadjust,adjuste,adjqqust,khcwbl,erobic
7,1,ADMIRE,admire,damire,admrie,admier,aimdre,armide,adire,admir,adre,daimer,ireadm,adm,mdaeri,iardem,aerimd,kdmire,advire,admirp,adinre,adhzre,admpire,admwtire,aqtvye,wadmire,admirev,admppire,nqpgvb,jockly
8,1,ADVENT,advent,davent,adevnt,advetn,adnevt,anvedt,avent,adven,adnt,daevtn,entadv,ent,vdatne,eandtv,atnevd,zdvent,advrnt,advenx,advqet,adfsnt,advient,advigent,azhost,cadvent,adventm,advwwent,pscmbk,pruich
9,1,ADVISE,advise,davise,adivse,advies,aivdse,asvide,adise,advis,adse,daives,iseadv,ise,vdaesi,iasdev,aesivd,pdvise,advwse,advisp,avrise,adhqse,advbise,advkrise,atfxre,qadvise,adviseg,advqqise,tjznfr,phorun
10,1,ALBINO,albino,labino,albnio,albion,aiblno,anbilo,albio,albin,alno,laibon,inoalb,ino,blaoni,ianlob,aonibl,clbino,albico,albinc,aljbno,aluhno,albeino,albzvino,aeyxto,salbino,albinod,albwwino,zwemtu,phrume
