Recommended Column Name,Description
accuracy,Binary indicator of whether the participant's response was correct.
age,Age of the participant at the time of the experiment.
day_of_birth,Participant's day of birth (YYYY-MM-DD).
first_language,Participant's native or first-acquired language.
gender,Self-reported or observed gender identity of the participant.
hearing_score,Participant's hearing score on a general health questionnaire.
lexicality,Binary indicator of whether a stimulus is a word or a nonword.
meq_score,"Participant's score on the Morningness-Eveningness Questionaire, a circadian rythm questionnare (Horne & Ostberg, 1976)."
participant_id,Unique identifier assigned to each participant.
past_health_score,Participant's past health score on a general health questionnaire.
present_health_score,Participant's present health score on a general health questionnaire.
rt,"Time taken by the participant to respond, in milliseconds."
rt_measure,What rt measures in this dataset: keypress (stimulus-locked key or button press latency).
session_no,"Sequential index indicating the session number within each participant. The first session contained 2,000 trials and the second either 1,372 or 1,374."
shipley_numCorrect,"Number of correct answers given by the participant on the vocabulary test of the Shipley Institute of Living Scale, a self-administering scale for measuring intellectual impairment and deterioration (Shipley, 1940)."
shipley_rawScore,"Participant's raw score on the vocabulary test of the Shipley Institute of Living Scale, a self-administering scale for measuring intellectual impairment and deterioration (Shipley, 1940)."
shipley_vocabAge,"Vocabulary age of the participant according to the vocabulary test of the Shipley Institute of Living Scale, a self-administering scale for measuring intellectual impairment and deterioration (Shipley, 1940)."
start_endblock,"Timestamp when the participant started the final block of the survey. The block contained gender, the MEQ, the Shipley vocabulary test, and the general health questionnaire (YYYY-MM-DD HH:MM:SS)."
start_time,Timestamp when the participant started the survey session (YYYY-MM-DD HH:MM:SS).
stimulus,The linguistic or visual stimulus presented to the participant in a given trial.
stimulus_id,Unique identifier assigned to each stimulus. Note: There are two versions of each stimulus: a word and a nonword. Whether a certain stimulus is a word or a nonword is indicated by the variable 'lexicality'.
trial_id,Unique identifier for a single trial within a session or condition.
university,University from whose research participant pool the participant was recruited.
vision_score,Participant's vision score on a general health questionnaire.
years_of_education,Participant's number of years of education.
years_of_education_corrected,"Corrected variable years_of_education. The value was supposed to be years of education but some are recorded as years of university, so values smaller 12 were replaced with value plus 12 to approximate the correct value."
