Recommended Column Name,Description
age,Age of the participant at the time of the experiment.
coding_category,"Participant's self-reported indication of whether they had pronounced the word correctly. The coding categories are: 1 = 'correct pronunciation', 2 = 'uncertain of pronunciation', 3 = 'mispronunciation', 4 = 'microphone error', 5 = 'time-out' (set by the system if the participant did not respond in time)."
coding_rt,"Time taken by the participant to code the response, in milliseconds (see variable 'coding_category')."
day_of_birth,Participant's day of birth (YYYY-MM-DD).
first_language,Participant's native or first-acquired language.
gender,Self-reported or observed gender identity of the participant.
hearing_score,Participant's hearing score on a general health questionnaire.
meq_score,"Participant's score on the Morningness-Eveningness Questionaire, a circadian rythm questionnare (Horne & Ostberg, 1976)."
participant_id,Unique identifier assigned to each participant.
past_health_score,Participant's past health score on a general health questionnaire.
present_health_score,Participant's present health score on a general health questionnaire.
rt,"Time till voice onset after the stimulus was presented, in milliseconds."
self_coded_accuracy,Binary indicator of whether the participant coded their pronunciation of the word as correct.
session_no,"Sequential index indicating the session number within each participant. The first session contained 1,500 trials and the second either 1,030 or 1,031."
shipley_numCorrect,"Number of correct answers given by the participant on the vocabulary test of the Shipley Institute of Living Scale, a self-administering scale for measuring intellectual impairment and deterioration (Shipley, 1940)."
shipley_rawScore,"Participant's raw score on the vocabulary test of the Shipley Institute of Living Scale, a self-administering scale for measuring intellectual impairment and deterioration (Shipley, 1940)."
shipley_vocabAge,"Vocabulary age of the participant according to the vocabulary test of the Shipley Institute of Living Scale, a self-administering scale for measuring intellectual impairment and deterioration (Shipley, 1940)."
start_endblock,"Timestamp when the participant started the final block of the survey. The block contained gender, the MEQ, the Shipley vocabulary test, and the general health questionnaire (YYYY-MM-DD HH:MM:SS)."
start_time,Timestamp when the participant started the survey session (YYYY-MM-DD HH:MM:SS).
stimulus,The linguistic or visual stimulus presented to the participant in a given trial.
stimulus_id,Unique identifier assigned to each stimulus.
trial_id,Unique identifier for a single trial within a session or condition.
university,University from whose research participant pool the participant was recruited.
vision_score,Participant's vision score on a general health questionnaire.
years_of_education,Participant's number of years of education.
years_of_education_corrected,"Corrected variable years_of_education. The value was supposed to be years of education but some are recorded as years of university, so values smaller 12 were replaced with value plus 12 to approximate the correct value."
