Recommended Column Name,Description
accuracy,Binary indicator of whether the participant's response was correct.
answer_options,"The four answer options for this trial, in the order they appeared on screen, separated by ' | '. Answer position was randomised per trial. Recorded once per trial, on the row where word_position is 1."
answer_rt,"Time the participant spent selecting an answer on the answers page, in milliseconds."
article_id,Identifier of the Guardian article the paragraph belongs to.
comprehension_score,Participant's overall percentage of correct answers across regular trials in the session.
correct_answer_position,On-screen position (1-4) of the correct answer for this trial.
difficulty_level,"Text version presented: Adv for the original Guardian paragraph, Ele for the simplified version."
first_fixation_duration,Duration of the first fixation on the word in milliseconds. Empty if the word was never fixated.
fixation_count,Number of fixations landing on the word.
gaze_duration,"Sum of fixations on the word during the first run through it, in milliseconds. Empty if the word was never fixated."
go_past_time,"Time from first entering the word until moving past it to the right, including regressions, in milliseconds. Empty if the word was never fixated."
is_first_pass_skipped,Binary indicator of whether the word was skipped during first-pass reading. A first-pass skipped word may still be fixated later during a regression.
is_fixated,Binary indicator of whether the word received any fixation (1) or none at all (0).
is_regressed_into,Binary indicator of whether a regression entered this word.
is_regressed_out_of,Binary indicator of whether a regression left this word.
is_repeated_reading,Binary indicator of whether this trial is a second reading of a previously presented article.
lextale_score,Participant's score on the LexTALE English vocabulary test administered before the eye tracking session. Empty where not recorded.
paragraph_id,Identifier of the paragraph within its article.
participant_id,Unique identifier assigned to each participant (original session labels remapped to integers 1-360).
question,The multiple-choice reading comprehension question asked about this paragraph.
question_rt,"Time the participant spent reading the question page, in milliseconds."
response_position,On-screen position (1-4) of the answer the participant selected.
rt,Total reading time on the word in milliseconds (dwell time summed over all fixations). 0 means the word was never fixated.
rt_measure,"What rt measures in this dataset: reading_time (self-paced reading time, or eye-tracking dwell time on the word)."
run_count,Number of separate runs of fixations on the word.
stimulus,The word as displayed on screen for this interest area.
trial_order,Presentation order of the trial within the session. Article and paragraph order is fixed within a batch and list.
word_position,Position of the word within the paragraph (1-based; from the DataViewer interest-area index).
