"participant_id","trial_id","stimulus","response_option_1","response_option_2","response","accuracy","rt","rt_measure"
1,1,"matita","TINFETIOLIA","TOPISEGNATURA",2,"Correct",2297,"keypress"
1,2,"collera","IRIBOLENZA","MAAZELLARIA",1,"Correct",1896,"keypress"
1,3,"attrezzo","BICCORERIANNO","PESCHETTORIO",2,"Correct",2570,"keypress"
1,4,"lampada","TECNOLICENZA","ILLUMITINA",1,"Incorrect",2041,"keypress"
1,5,"manichino","TETRUCCIERICO","BUCCOLAIANDOLO",2,"Incorrect",2094,"keypress"
1,6,"tromba","SUONONELLA","ILLUMITINA",1,"Correct",1658,"keypress"
1,7,"feccia","SHAKESPEARIA","CAGOGNAZZA",2,"Correct",1666,"keypress"
1,8,"tabacco","SPONATENTALISMO","FUMACOLIO",2,"Correct",2365,"keypress"
1,9,"melma","AFFOGNITURA","SOMMIRATOLA",1,"Correct",1484,"keypress"
1,10,"mucca","BOVACCIETTA","ERBACOLATURA",1,"Correct",1345,"keypress"
1,11,"opuscolo","POSPICCIOLO","DÉPLIOTIO",2,"Correct",1733,"keypress"
1,12,"idolo","SDEGNATISMO","BAMAGOGO",2,"Correct",1261,"keypress"
1,13,"sentimento","MORCAVATTICO","AMANIMARISMO",2,"Correct",2755,"keypress"
1,14,"patriota","DECOMODA","NASCOBILISTA",2,"Correct",1553,"keypress"
1,15,"sciarpa","CUOCCELA","GIUBBIATOLA",2,"Correct",1587,"keypress"
1,16,"terrazzo","POSPICCIOLO","CORTECNOLISMO",1,"Correct",2455,"keypress"
1,17,"stampo","SPONATENTALISMO","UFFAMALINALISMO",1,"Correct",1788,"keypress"
1,18,"fascino","AMAGGIOSCO","SCIOCOLTAZIO",1,"Correct",2467,"keypress"
1,19,"pasta","COTOLITELLA","CAGOGNAZZA",1,"Correct",1648,"keypress"
1,20,"bibita","SEDINOCA","BEVERCHIETTA",2,"Correct",1635,"keypress"
1,21,"massacro","UCCIDALOSAMENTO","BRUFFEMIANDOLO",1,"Correct",1439,"keypress"
1,22,"macello","NEBBALLIANTO","BOVIACCAMENTO",2,"Correct",2559,"keypress"
1,23,"cesto","BUCCOLAIANDOLO","MAFIDAMATO",1,"Correct",1665,"keypress"
1,24,"commedia","BEVERCHIETTA","SHAKESPEARIA",2,"Correct",1717,"keypress"
1,25,"gelosia","TAPOSTOIONA","GENAMORENZA",2,"Correct",3156,"keypress"
1,26,"scarafaggio","MORCAVATTICO","BACINGINEO",1,"Correct",1465,"keypress"
