"participant_id","trial_id","stimulus","response_option_1","response_option_2","response","accuracy","rt"
1,1,"libro","specchio libro","vaso fazzoletto",1,"Correct",6971
1,2,"tramonto","tavolo tramonto","tramonto vaso",2,"Correct",3193
1,3,"albero","specchio libro","albero vaso",2,"Correct",2452
1,4,"libro","libro violino","albero prato",1,"Correct",3555
1,5,"acqua","insalata piazza","camera acqua",2,"Correct",2352
1,6,"finestra","finestra piazza","roccia acqua",2,"Incorrect",2885
1,7,"camera","camera insalata","roccia bambola",1,"Correct",5201
1,8,"specchio","vaso libro","specchio violino",2,"Correct",3383
1,9,"torta","tenda finestra","torta roccia",2,"Correct",4600
1,10,"torta","torta tenda","acqua insalata",1,"Correct",2834
1,11,"camera","camera finestra","giacca bambola",2,"Incorrect",3122
1,12,"bambola","camera acqua","bambola roccia",1,"Incorrect",3832
1,13,"acqua","acqua finestra","acqua tenda",2,"Incorrect",4638
1,14,"acqua","acqua roccia","finestra scarpa",1,"Correct",1662
1,15,"tenda","acqua torta","roccia tenda",2,"Correct",2929
1,16,"torta","giacca scarpa","torta giacca",1,"Incorrect",4591
1,17,"giacca","scarpa giacca","roccia piazza",1,"Correct",2274
1,18,"libro","libro martello","albero specchio",1,"Correct",4323
1,19,"camera","torta piazza","piazza camera",2,"Correct",3370
1,20,"acqua","tenda acqua","insalata torta",1,"Correct",2227
1,21,"tavolo","tavolo specchio","fazzoletto tavolo",2,"Correct",4380
1,22,"insalata","torta roccia","piazza insalata",1,"Incorrect",3875
1,23,"martello","violino specchio","martello vaso",2,"Correct",4166
1,24,"camera","piazza tenda","camera torta",1,"Incorrect",4992
1,25,"acqua","scarpa acqua","finestra giacca",1,"Correct",1724
1,26,"acqua","scarpa torta","acqua torta",1,"Incorrect",4503
1,27,"camera","camera tenda","finestra roccia",2,"Incorrect",3750
1,28,"finestra","giacca piazza","tenda finestra",1,"Incorrect",3789
1,29,"specchio","specchio prato","specchio fazzoletto",1,"Correct",3051
1,30,"torta","torta scarpa","scarpa acqua",1,"Correct",3990
1,31,"tavolo","muro tavolo","albero vaso",1,"Correct",4693
1,32,"finestra","tenda scarpa","finestra giacca",1,"Incorrect",4802
1,33,"martello","martello violino","prato fazzoletto",1,"Correct",6792
1,34,"camera","giacca camera","camera piazza",1,"Correct",1962
1,35,"albero","prato libro","violino albero",2,"Correct",1832
1,36,"vaso","vaso prato","violino prato",2,"Incorrect",5161
1,37,"insalata","roccia insalata","tenda roccia",1,"Correct",1888
1,38,"giacca","torta giacca","giacca insalata",1,"Incorrect",4398
1,39,"specchio","vaso tavolo","specchio fazzoletto",2,"Correct",2104
1,40,"albero","tramonto albero","albero tavolo",1,"Correct",4334
1,41,"tavolo","tramonto violino","tavolo tramonto",2,"Correct",4239
1,42,"prato","prato violino","tramonto vaso",1,"Correct",1971
1,43,"tavolo","tavolo vaso","violino tavolo",2,"Incorrect",2020
1,44,"tenda","insalata tenda","insalata finestra",1,"Correct",3717
1,45,"giacca","giacca camera","giacca tenda",2,"Correct",3935
1,46,"finestra","finestra scarpa","finestra acqua",1,"Correct",4325
1,47,"giacca","piazza acqua","bambola giacca",2,"Correct",1823
1,48,"libro","violino albero","libro vaso",1,"Incorrect",2469
1,49,"tenda","piazza tenda","camera insalata",1,"Correct",4449
1,50,"acqua","torta finestra","acqua giacca",2,"Correct",1847
1,51,"tavolo","violino martello","tavolo violino",1,"Incorrect",2776
1,52,"finestra","roccia finestra","camera scarpa",1,"Correct",2922
1,53,"finestra","finestra torta","camera torta",2,"Incorrect",3397
1,54,"tavolo","libro albero","tavolo prato",2,"Correct",1546
1,55,"albero","libro martello","prato albero",2,"Correct",2972
1,56,"giacca","giacca piazza","finestra piazza",1,"Correct",3552
1,57,"vaso","martello prato","violino vaso",1,"Incorrect",2667
1,58,"libro","vaso violino","libro tramonto",2,"Correct",2649
1,59,"tramonto","tramonto violino","specchio prato",1,"Correct",2654
1,60,"muro","fazzoletto albero","muro specchio",1,"Incorrect",3538
1,61,"acqua","insalata acqua","roccia camera",1,"Correct",1913
1,62,"albero","martello vaso","specchio albero",2,"Correct",4009
1,63,"torta","scarpa roccia","insalata torta",2,"Correct",2867
1,64,"finestra","insalata finestra","giacca acqua",1,"Correct",3755
1,65,"torta","torta piazza","tenda torta",2,"Incorrect",2583
1,66,"tavolo","specchio tavolo","libro tramonto",1,"Correct",2188
1,67,"tavolo","tavolo fazzoletto","tavolo albero",2,"Correct",3613
1,68,"torta","tenda camera","torta bambola",1,"Incorrect",4448
1,69,"albero","specchio martello","albero fazzoletto",2,"Correct",2368
1,70,"prato","prato vaso","fazzoletto prato",1,"Incorrect",3699
1,71,"libro","libro violino","libro prato",2,"Correct",5050
1,72,"camera","scarpa camera","tenda giacca",1,"Correct",2903
1,73,"tenda","tenda scarpa","insalata giacca",1,"Correct",1924
1,74,"martello","muro specchio","prato martello",2,"Correct",2441
1,75,"acqua","piazza acqua","camera finestra",1,"Correct",1945
1,76,"piazza","insalata tenda","piazza roccia",2,"Correct",2836
1,77,"specchio","tramonto albero","specchio martello",2,"Correct",2527
1,78,"libro","tavolo muro","libro albero",1,"Incorrect",4093
1,79,"roccia","roccia scarpa","torta bambola",1,"Correct",2329
1,80,"camera","insalata roccia","roccia camera",2,"Correct",3319
1,81,"vaso","tavolo prato","fazzoletto vaso",2,"Correct",5183
2,1,"prato","vaso violino","prato fazzoletto",1,"Incorrect",13326
2,2,"camera","roccia camera","giacca bambola",2,"Incorrect",7135
2,3,"tavolo","tavolo muro","violino prato",1,"Correct",6912
2,4,"acqua","torta acqua","camera roccia",1,"Correct",6441
2,5,"camera","roccia scarpa","piazza camera",2,"Correct",9409
2,6,"albero","albero tramonto","albero specchio",2,"Correct",7369
2,7,"tenda","finestra acqua","tenda scarpa",2,"Correct",4314
2,8,"specchio","violino specchio","muro tavolo",1,"Correct",5069
2,9,"tavolo","specchio tavolo","tavolo prato",2,"Incorrect",7695
2,10,"martello","martello vaso","violino martello",1,"Correct",7243
2,11,"tenda","acqua torta","tenda roccia",2,"Correct",5184
2,12,"tenda","torta insalata","tenda insalata",1,"Incorrect",7923
2,13,"martello","martello violino","albero tavolo",1,"Correct",8025
2,14,"tramonto","tramonto vaso","vaso tavolo",2,"Incorrect",6750
2,15,"prato","violino libro","violino prato",1,"Incorrect",6292
2,16,"acqua","finestra torta","camera acqua",2,"Correct",6122
2,17,"libro","libro tramonto","albero libro",2,"Correct",12936
2,18,"torta","tenda torta","giacca torta",1,"Correct",8415
2,19,"tavolo","violino tavolo","prato specchio",1,"Correct",4786
2,20,"specchio","tavolo fazzoletto","specchio martello",1,"Incorrect",6922
2,21,"albero","tramonto albero","albero fazzoletto",1,"Correct",5702
2,22,"tavolo","tavolo specchio","tavolo tramonto",2,"Correct",7908
2,23,"roccia","finestra scarpa","roccia scarpa",1,"Incorrect",4193
2,24,"tavolo","vaso tavolo","tramonto violino",1,"Correct",8000
2,25,"libro","tramonto libro","vaso fazzoletto",2,"Incorrect",5411
2,26,"torta","bambola torta","torta camera",1,"Correct",7374
2,27,"giacca","giacca tenda","torta piazza",1,"Correct",2032
2,28,"acqua","torta tenda","giacca acqua",2,"Correct",3633
2,29,"torta","scarpa giacca","roccia torta",2,"Correct",3751
2,30,"piazza","roccia piazza","acqua tenda",1,"Correct",7990
2,31,"finestra","tenda finestra","giacca insalata",2,"Incorrect",5105
2,32,"finestra","torta bambola","finestra roccia",2,"Correct",4874
2,33,"tavolo","libro specchio","prato tavolo",2,"Correct",4066
2,34,"vaso","vaso prato","vaso libro",1,"Correct",8162
2,35,"acqua","acqua tenda","torta roccia",1,"Correct",3490
2,36,"camera","camera torta","roccia acqua",1,"Correct",8687
2,37,"tramonto","specchio muro","violino tramonto",2,"Correct",3041
2,38,"acqua","acqua insalata","acqua giacca",2,"Incorrect",5568
2,39,"libro","libro vaso","violino tavolo",1,"Correct",4945
2,40,"libro","fazzoletto prato","specchio libro",2,"Correct",5735
2,41,"specchio","fazzoletto specchio","martello libro",2,"Incorrect",5354
2,42,"acqua","acqua finestra","tenda roccia",1,"Correct",1725
2,43,"finestra","finestra giacca","roccia insalata",2,"Incorrect",6977
2,44,"finestra","acqua scarpa","scarpa finestra",2,"Correct",5393
2,45,"finestra","finestra piazza","finestra insalata",2,"Incorrect",8476
2,46,"tavolo","specchio violino","tavolo albero",2,"Correct",8597
2,47,"martello","albero libro","prato martello",2,"Correct",2934
2,48,"libro","violino libro","vaso prato",1,"Correct",2068
2,49,"camera","tenda finestra","scarpa camera",1,"Incorrect",4320
2,50,"torta","piazza giacca","piazza torta",2,"Correct",4615
2,51,"insalata","insalata tenda","insalata piazza",1,"Incorrect",5350
2,52,"giacca","acqua piazza","giacca scarpa",2,"Correct",1921
2,53,"bambola","bambola roccia","scarpa tenda",1,"Correct",6320
2,54,"giacca","camera insalata","bambola giacca",2,"Correct",2282
2,55,"camera","giacca tenda","finestra camera",2,"Correct",4068
2,56,"libro","prato albero","martello libro",2,"Correct",5295
2,57,"camera","finestra giacca","insalata camera",1,"Incorrect",5901
2,58,"camera","finestra roccia","camera giacca",2,"Correct",2431
2,59,"torta","tenda camera","giacca torta",1,"Incorrect",4032
2,60,"tenda","tenda piazza","acqua insalata",1,"Correct",5323
2,61,"libro","libro prato","violino albero",1,"Correct",17119
