"participant_id","trial_order","stimulus","response_option_1","response_option_2","response","accuracy","rt","rt_measure"
1,1,"violino tavolo","SUONCOLLO","SDRAIOLIO",2,"Incorrect",3675,"keypress"
1,2,"finestra piazza","BANDINAIA","GIAPRIATOLA",1,"Incorrect",4009,"keypress"
1,3,"prato tavolo","SDRAIARELLO","FIORICELLO",1,"Correct",3258,"keypress"
1,4,"torta camera","POLIETTOLA","SICCOTTELA",2,"Correct",1804,"keypress"
1,5,"tramonto violino","SUONANNARIO","SPURIALLIO",1,"Correct",2878,"keypress"
1,6,"libro tramonto","FIORECCIANDOLO","LUMERSTERSIMO",2,"Correct",3261,"keypress"
1,7,"violino albero","MUSTONCELLO","FIORARIOLO",2,"Incorrect",4356,"keypress"
1,8,"giacca insalata","CINCOTTELLA","VESTINETTA",2,"Correct",4893,"keypress"
1,9,"piazza giacca","CAMATINCIA","SDRANZIA",1,"Correct",2688,"keypress"
1,10,"torta scarpa","PANCOTTELLA","TERNOTELLA",1,"Correct",2555,"keypress"
1,11,"albero libro","SUONANNARIO","NARAMPICOLO",2,"Correct",4089,"keypress"
1,12,"tenda torta","SICCOTTELLA","RETTIELLIA",2,"Incorrect",3394,"keypress"
1,13,"insalata roccia","FRICOTTELA","ERRACIOLINA",2,"Correct",3932,"keypress"
1,14,"torta piazza","CINCOTTELLA","APRIATTOLA",2,"Incorrect",6416,"keypress"
1,15,"fazzoletto tavolo","FIORISITOLO","SEDINOCCIO",1,"Incorrect",2723,"keypress"
1,16,"camera tenda","SDRANZIA","CLIETTOLA",2,"Incorrect",3455,"keypress"
1,17,"albero tramonto","ROSCESCOLO","MUSTONCELLO",2,"Incorrect",2243,"keypress"
1,18,"specchio violino","VISUONDOLO","PARTONCELLO",1,"Correct",2944,"keypress"
1,19,"prato fazzoletto","FIOTTINO","VISUONDOLO",1,"Correct",2211,"keypress"
1,20,"insalata acqua","FRIGLIANZA","IDRANGIA",2,"Correct",2182,"keypress"
1,21,"specchio martello","SPALENTOLO","CERBOSCELLO",1,"Correct",3419,"keypress"
1,22,"roccia bambola","COSTRELLINA","CAPPETTELLA",1,"Correct",2525,"keypress"
1,23,"acqua torta","GOCCOTTELLA","IDRATOLANA",1,"Correct",971,"keypress"
1,24,"tramonto tavolo","SGUARELLIO","SDRAIOLIO",2,"Correct",1824,"keypress"
1,25,"specchio prato","SPURIALLIO","SDRAIARELLO",1,"Correct",1825,"keypress"
1,26,"camera insalata","COTTOLIOLIA","CLIETTONDOLA",2,"Incorrect",1542,"keypress"
1,27,"tenda piazza","BANDINAIA","COSTRELLINA",1,"Correct",1470,"keypress"
1,28,"muro tavolo","CIGOLITELLO","CROIETTOLO",1,"Correct",1257,"keypress"
1,29,"roccia piazza","IMMONTURA","PALCAVERIA",2,"Correct",3582,"keypress"
1,30,"tavolo vaso","FIONCOLIOLO","GRAMINELLO",2,"Correct",3334,"keypress"
1,31,"tavolo albero","PARTONCELLO","CIGOLITELLO",2,"Incorrect",2312,"keypress"
1,32,"finestra scarpa","ERRACIOLINA","CLICCATTOLA",2,"Correct",1670,"keypress"
1,33,"tramonto vaso","NARAMPICOLO","FIORARIOLO",2,"Correct",679,"keypress"
1,34,"albero prato","CERBOSCELLO","SUONISCRIO",1,"Correct",427,"keypress"
1,35,"acqua piazza","POZZETTERIA","IDRACIOLA",2,"Incorrect",1757,"keypress"
1,36,"fazzoletto vaso","FIORINELLO","RAPALINCIO",1,"Correct",2225,"keypress"
1,37,"specchio libro","ARMORICELLO","RABELLIMENTO",2,"Correct",1695,"keypress"
1,38,"specchio tavolo","RABELLIMENTO","SDRANGOLIO",2,"Correct",1482,"keypress"
1,39,"vaso albero","FIORICELLO","SUONANELLO",2,"Incorrect",1798,"keypress"
1,40,"fazzoletto specchio","SGUARELLIO","PICATTOLO",1,"Correct",2725,"keypress"
1,41,"piazza camera","SENDINAIA","CENSARELLINA",2,"Incorrect",2369,"keypress"
