Recommended Column Name,Description
age,Participant age in years (from Answer.QAge)
country_of_residence,"Country of residence (all US, state specified in next var"
education,Highest completed education level (from Answer.QEducation)
first_language,Participant's self-reported language(s) (from Answer.QLang)
gender,Self-reported gender: Female / Male / Unspecified (from Answer.QGender)
handedness,Participant's dominant hand: Left / Right / Unspecified (from Answer.QHand)
participant_id,Anonymized participant ID (derived from Worker_code)
response,"Concreteness rating 1-5, or N / n for unknown (see new variable word_known)"
session_duration_s,Time in seconds between accepting and submitting the MTurk assignment (from WorkTimeInSeconds)
session_id,Participants could do the task multiple times. Each one is noted by session_id (max (90).
state_raised,US state where participant lived most of the time before age 7 (from Answer.QRaised)
stimulus,Stimulus word presented to the participant (from Word)
word_known,FALSE if participant indicated they did not know the word (Rating was 'n' or 'N')
word_type,Is trial part of control word or calibrator (that everyone gets)
