Recommended Column Name,Description
first_key_RT,Time from text-box onset to first typed key (ms).
H_statistic,Entropy of the name distribution for the image (bits).
idiosyncratic_osullivan_et_al,Count of idiosyncratic (singleton) responses per O'Sullivan coding scheme.
image_filename,Filename or identifier for the presented image.
is_invalid,Flag marking invalid responses (missing/non-word/timed-out).
is_modal,Whether the response equals the modal name for that image.
is_natural,Whether the object is a natural kind (true/false).
is_rt_outlier,Flag marking RT outliers removed from RT analyses.
modalWordFreq,"Frequency (e.g., Zipf) of the modal response word."
modalWordLength,Number of characters in modal name.
name_agreement,Percentage of participants giving the modal name for the image (0-100).
nonobject_osullivan_et_al,Count of non-object / unrelated responses per O’Sullivan coding scheme.
Normalised_H_statistic,H-statistic normalised for sample-size differences.
not_in_subtlex_uk,Flag if word not found in SUBTLEX-UK frequency resource.
object,Object identifier (concept depicted by the image).
participant_id,numeric participant identifier (0..N-1).
physically_dissimilar,Flag/score indicating physical dissimilarity of image variants.
response,Raw response.
response_corrected,Cleaned / corrected response (spelling normalized).
responseProductionFreq,Production frequency (how many participants produced the response).
responseProductionFreq_non_outlier,Production freq after outlier removal.
responseWordFreq,Frequency of the individual response word.
responseWordLength,Number of characters in individual response.
rt,Recognition reaction time (ms) measured from image onset to recognition keypress.
trial_order,"Position of the trial within the participant, in presentation order."
unknown_osullivan_et_al,Count of responses coded 'unknown' per O'Sullivan coding scheme.
