participant_id,list,item_id,trial_order,stimulus,target_word,response,age,gender,education,first_language,nationality,country_of_birth,country_of_residence
QAHFTR,1,577,0,Arthur placed,the,his,21.0,Female,High school diploma/A-levels,English,United Kingdom,United Kingdom,United Kingdom
QAHFTR,1,1093,1,Finally Maria sat down with a,cup,sigh,21.0,Female,High school diploma/A-levels,English,United Kingdom,United Kingdom,United Kingdom
QAHFTR,1,1440,2,He smiled again and felt like a,man,child,21.0,Female,High school diploma/A-levels,English,United Kingdom,United Kingdom,United Kingdom
QAHFTR,1,988,3,She wound up,talking,catching,21.0,Female,High school diploma/A-levels,English,United Kingdom,United Kingdom,United Kingdom
QAHFTR,1,500,4,"Good God, if you are","watching,",there,21.0,Female,High school diploma/A-levels,English,United Kingdom,United Kingdom,United Kingdom
QAHFTR,1,1334,5,The truck was an older,version,version,21.0,Female,High school diploma/A-levels,English,United Kingdom,United Kingdom,United Kingdom
QAHFTR,1,1378,6,Emma put her mug of,tea,tea,21.0,Female,High school diploma/A-levels,English,United Kingdom,United Kingdom,United Kingdom
QAHFTR,1,646,7,Dexter opened his letter and found a,photograph,surprise,21.0,Female,High school diploma/A-levels,English,United Kingdom,United Kingdom,United Kingdom
QAHFTR,1,1202,8,In the morning at breakfast,Mike,they,21.0,Female,High school diploma/A-levels,English,United Kingdom,United Kingdom,United Kingdom
QAHFTR,1,1155,9,He was,built,someone,21.0,Female,High school diploma/A-levels,English,United Kingdom,United Kingdom,United Kingdom
QAHFTR,1,270,10,She hid the,boxes,box,21.0,Female,High school diploma/A-levels,English,United Kingdom,United Kingdom,United Kingdom
QAHFTR,1,464,11,There will be men to kill either,way.,you,21.0,Female,High school diploma/A-levels,English,United Kingdom,United Kingdom,United Kingdom
QAHFTR,1,1516,12,Billy knocked on the door and waited till he was told,to,to,21.0,Female,High school diploma/A-levels,English,United Kingdom,United Kingdom,United Kingdom
QAHFTR,1,1557,13,The shout caught him,off,by,21.0,Female,High school diploma/A-levels,English,United Kingdom,United Kingdom,United Kingdom
QAHFTR,1,103,14,I dont want to hear,it.,it,21.0,Female,High school diploma/A-levels,English,United Kingdom,United Kingdom,United Kingdom
QAHFTR,1,3,15,Anne lost control,and,of,21.0,Female,High school diploma/A-levels,English,United Kingdom,United Kingdom,United Kingdom
QAHFTR,1,1115,16,He drank too much at times,and,but,21.0,Female,High school diploma/A-levels,English,United Kingdom,United Kingdom,United Kingdom
QAHFTR,1,198,17,Looks like a,walk,challenge,21.0,Female,High school diploma/A-levels,English,United Kingdom,United Kingdom,United Kingdom
QAHFTR,1,1550,18,One by one she placed her teeth about their,necks,necks,21.0,Female,High school diploma/A-levels,English,United Kingdom,United Kingdom,United Kingdom
QAHFTR,1,29,19,Roger,smiled,was,21.0,Female,High school diploma/A-levels,English,United Kingdom,United Kingdom,United Kingdom
QAHFTR,1,298,20,Youre,getting,mine,21.0,Female,High school diploma/A-levels,English,United Kingdom,United Kingdom,United Kingdom
