participant_id,list,item_id,trial_order,stimulus,target_word,response,age,gender,education,first_language,nationality,country_of_birth,country_of_residence
QAHFTR,1,577,0,Arthur placed,the,4,,,,,,,
QAHFTR,1,1093,1,Finally Maria sat down with a,cup,4,,,,,,,
QAHFTR,1,1440,2,He smiled again and felt like a,man,1,,,,,,,
QAHFTR,1,988,3,She wound up,talking,5,,,,,,,
QAHFTR,1,500,4,"Good God, if you are","watching,",5,,,,,,,
QAHFTR,1,1334,5,The truck was an older,version,5,,,,,,,
QAHFTR,1,1378,6,Emma put her mug of,tea,5,,,,,,,
QAHFTR,1,646,7,Dexter opened his letter and found a,photograph,3,,,,,,,
QAHFTR,1,1202,8,In the morning at breakfast,Mike,3,,,,,,,
QAHFTR,1,1155,9,He was,built,4,,,,,,,
QAHFTR,1,270,10,She hid the,boxes,4,,,,,,,
QAHFTR,1,464,11,There will be men to kill either,way.,5,,,,,,,
QAHFTR,1,1516,12,Billy knocked on the door and waited till he was told,to,5,,,,,,,
QAHFTR,1,1557,13,The shout caught him,off,5,,,,,,,
QAHFTR,1,103,14,I dont want to hear,it.,4,,,,,,,
QAHFTR,1,3,15,Anne lost control,and,5,,,,,,,
QAHFTR,1,1115,16,He drank too much at times,and,4,,,,,,,
QAHFTR,1,198,17,Looks like a,walk,5,,,,,,,
QAHFTR,1,1550,18,One by one she placed her teeth about their,necks,3,,,,,,,
QAHFTR,1,29,19,Roger,smiled,5,,,,,,,
QAHFTR,1,298,20,Youre,getting,5,,,,,,,
QAHFTR,1,138,21,The campaign will pay for,itself.,4,,,,,,,
QAHFTR,1,899,22,He held his mother,tight,4,,,,,,,
QAHFTR,1,491,23,Dont die of cold,before,4,,,,,,,
QAHFTR,1,1393,24,Bruce is looking for someone to take the,spare,2,,,,,,,
QAHFTR,1,1181,25,I shall have a victory and,I,3,,,,,,,
QAHFTR,1,616,26,Charles,felt,1,,,,,,,
QAHFTR,1,1586,27,He sat his son up on the table,and,4,,,,,,,
QAHFTR,1,540,28,He sighed and walked back,to,5,,,,,,,
QAHFTR,1,904,29,He held his mother tight and she cried into,his,5,,,,,,,
QAHFTR,1,1112,30,He drank too,much,3,,,,,,,
QAHFTR,1,1670,31,He came back to his senses when he heard his dad stand up to,him.,3,,,,,,,
QAHFTR,1,100,32,I dont,want,5,,,,,,,
QAHFTR,1,513,33,He is,after,1,,,,,,,
QAHFTR,1,399,34,Alec stood against the wall,to,4,,,,,,,
QAHFTR,1,1627,35,The police officer got out of the van and picked,up,5,,,,,,,
QAHFTR,1,1207,36,In the morning at breakfast Mike smiled at the letter,he,2,,,,,,,
QAHFTR,1,782,37,Phil let him go and Charlie fell to,the,5,,,,,,,
QAHFTR,1,1352,38,We,should,1,,,,,,,
QAHFTR,1,68,39,Gordon felt his anger build,up.,5,,,,,,,
QAHFTR,1,206,40,Sam felt proud when he,went,4,,,,,,,
QAHFTR,1,1235,41,James walked in to wake,Samuel,1,,,,,,,
QAHFTR,1,1625,42,The police officer got out of the van,and,4,,,,,,,
QAHFTR,1,1594,43,If I have,time,4,,,,,,,
QAHFTR,1,849,44,The brothers stood,up,5,,,,,,,
QAHFTR,1,675,45,They turned round just,as,2,,,,,,,
QAHFTR,1,504,46,He,heaved,1,,,,,,,
QAHFTR,1,538,47,He sighed and,walked,2,,,,,,,
QAHFTR,1,123,48,Ross sat back down and,shivered.,5,,,,,,,
QAHFTR,1,504,49,He,heaved,2,,,,,,,
QAHFTR,1,1511,50,Billy knocked on the door and,waited,3,,,,,,,
QAHFTR,1,1126,51,He folded his arms across his,chest,5,,,,,,,
QAHFTR,1,1445,52,He smiled again and felt like a man and not just the,kid.,3,,,,,,,
QAHFTR,1,394,53,William sat down and tucked into his,breakfast.,3,,,,,,,
QAHFTR,1,1458,54,I,cant,5,,,,,,,
QAHFTR,1,87,55,He uses his belt,on,5,,,,,,,
QAHFTR,1,1296,56,Now the man is coming who will give it back to,me.,5,,,,,,,
QAHFTR,1,1300,57,She threatened to leave,before,5,,,,,,,
QAHFTR,1,1272,58,Michael knew they never hit him and that was,half,4,,,,,,,
