Recommended Column Name,Description
Auditory,Variable from Italian perceptual norms
density_fastText,Density from FastText
eng_translation,English translation of the Italian target word
first_language,Participant's native or first-acquired language.
group,"The participant's group (1 for L1 Italian speaker, 2 for L2 Italian speaker)"
Gustatory,Variable from Italian perceptual norms
Haptic,Variable from Italian perceptual norms
Ita_Word_y,Repeated variable from the original dataset (unused)
ldt_acc,Accuracy in the lexical decision task
ldt_rt,Reaction time in the lexical decision task
ldt_rt_z,Z-scored reaction time in the lexical decision task
letter_freq,Letter frequency
lexita_score,Participant's score in LexIta
lexita_self_cefr,Participant's score in LexIta according to CEFR levels
list,Experimental list number (1-8). Items were distributed across 8 lists.
M_AoA,Variable from ANEW
M_Aro,Variable from ANEW
M_Con,Variable from ANEW
M_Dom,Variable from ANEW
M_Fam,Variable from ANEW
M_Ima,Variable from ANEW
M_Val,Variable from ANEW
mag_percept,Variable from Italian perceptual norms
max_percept,Variable from Italian perceptual norms
mean_percept,Variable from Italian perceptual norms
min_percept,Variable from Italian perceptual norms
mink_percept,Variable from Italian perceptual norms
mod_e,Variable from Italian perceptual norms
mod_exc,Variable from Italian perceptual norms
nt_acc,Accuracy in the naming task
nt_rt,Reaction time in the naming task
nt_rt_z,Z-scored reaction time in the naming task
Olfactory,Variable from Italian perceptual norms
participant_id,Unique identifier assigned to each participant.
response,Participant's response
SD_AoA,Standardized Age of Acquisition
second_language,Participant's second language
Specificity_scaled,Variable from ANEW specificity ratings
stimulus,The linguistic or visual stimulus presented to the participant in a given trial.
target_word,The target word that participants rated for expectedness (from https://doi.org/10.3758/s13428-024-02379-9)
Visual,Variable from Italian perceptual norms
WF_Subtlex,Word frequency from SUBTLEX-IT
word_class,Syntactic class of the target word
word_length,Length of the target word
