participant_id,age,gender,first_language,monolingual,item_id,trial_order,stimulus,word,word_position,question,response,rt,first_pass_duration,right_bounded_duration,go_past_duration,accuracy
1,33.0,female,English,1,56,1,The prison guard walked along the row.,The,1,,,288.0,288.0,288.0,288.0,
1,33.0,female,English,1,56,1,The prison guard walked along the row.,prison,2,,,208.0,208.0,208.0,208.0,
1,33.0,female,English,1,56,1,The prison guard walked along the row.,guard,3,,,228.0,356.0,356.0,356.0,
1,33.0,female,English,1,56,1,The prison guard walked along the row.,walked,4,,,260.0,260.0,260.0,260.0,
1,33.0,female,English,1,56,1,The prison guard walked along the row.,along,5,,,292.0,292.0,292.0,292.0,
1,33.0,female,English,1,56,1,The prison guard walked along the row.,the,6,,,136.0,136.0,136.0,324.0,
1,33.0,female,English,1,56,1,The prison guard walked along the row.,row.,7,,,188.0,336.0,336.0,924.0,
1,33.0,female,English,1,111,2,You give me a lead and I'll follow it.,You,1,,,96.0,360.0,360.0,360.0,
1,33.0,female,English,1,111,2,You give me a lead and I'll follow it.,give,2,,,232.0,232.0,232.0,232.0,
1,33.0,female,English,1,111,2,You give me a lead and I'll follow it.,me,3,,,,,,,
1,33.0,female,English,1,111,2,You give me a lead and I'll follow it.,a,4,,,244.0,244.0,244.0,244.0,
1,33.0,female,English,1,111,2,You give me a lead and I'll follow it.,lead,5,,,296.0,296.0,296.0,296.0,
1,33.0,female,English,1,111,2,You give me a lead and I'll follow it.,and,6,,,256.0,256.0,256.0,256.0,
1,33.0,female,English,1,111,2,You give me a lead and I'll follow it.,I'll,7,,,220.0,220.0,220.0,220.0,
1,33.0,female,English,1,111,2,You give me a lead and I'll follow it.,follow,8,,,140.0,140.0,140.0,140.0,
1,33.0,female,English,1,111,2,You give me a lead and I'll follow it.,it.,9,,,356.0,556.0,556.0,964.0,
1,33.0,female,English,1,65,3,He slammed the knife down on the lamb.,He,1,Did he try to kill an animal?,y,,,,,1.0
1,33.0,female,English,1,65,3,He slammed the knife down on the lamb.,slammed,2,Did he try to kill an animal?,y,200.0,200.0,344.0,452.0,1.0
1,33.0,female,English,1,65,3,He slammed the knife down on the lamb.,the,3,Did he try to kill an animal?,y,172.0,172.0,456.0,628.0,1.0
1,33.0,female,English,1,65,3,He slammed the knife down on the lamb.,knife,4,Did he try to kill an animal?,y,144.0,144.0,144.0,144.0,1.0
1,33.0,female,English,1,65,3,He slammed the knife down on the lamb.,down,5,Did he try to kill an animal?,y,160.0,160.0,160.0,160.0,1.0
1,33.0,female,English,1,65,3,He slammed the knife down on the lamb.,on,6,Did he try to kill an animal?,y,260.0,260.0,260.0,260.0,1.0
1,33.0,female,English,1,65,3,He slammed the knife down on the lamb.,the,7,Did he try to kill an animal?,y,,,,,1.0
1,33.0,female,English,1,65,3,He slammed the knife down on the lamb.,lamb.,8,Did he try to kill an animal?,y,128.0,128.0,988.0,1244.0,1.0
1,33.0,female,English,1,38,4,He put the fork on the table.,He,1,Was it a knife that he put on the table?,n,236.0,236.0,236.0,236.0,1.0
1,33.0,female,English,1,38,4,He put the fork on the table.,put,2,Was it a knife that he put on the table?,n,164.0,164.0,164.0,164.0,1.0
1,33.0,female,English,1,38,4,He put the fork on the table.,the,3,Was it a knife that he put on the table?,n,216.0,216.0,216.0,216.0,1.0
1,33.0,female,English,1,38,4,He put the fork on the table.,fork,4,Was it a knife that he put on the table?,n,120.0,120.0,120.0,120.0,1.0
1,33.0,female,English,1,38,4,He put the fork on the table.,on,5,Was it a knife that he put on the table?,n,164.0,316.0,316.0,316.0,1.0
1,33.0,female,English,1,38,4,He put the fork on the table.,the,6,Was it a knife that he put on the table?,n,216.0,216.0,216.0,216.0,1.0
1,33.0,female,English,1,38,4,He put the fork on the table.,table.,7,Was it a knife that he put on the table?,n,732.0,912.0,912.0,1576.0,1.0
1,33.0,female,English,1,159,5,He was built with muscle and liked to throw his weight around.,He,1,Was he a large man?,y,256.0,344.0,344.0,344.0,1.0
1,33.0,female,English,1,159,5,He was built with muscle and liked to throw his weight around.,was,2,Was he a large man?,y,,,,,1.0
1,33.0,female,English,1,159,5,He was built with muscle and liked to throw his weight around.,built,3,Was he a large man?,y,312.0,312.0,312.0,312.0,1.0
1,33.0,female,English,1,159,5,He was built with muscle and liked to throw his weight around.,with,4,Was he a large man?,y,304.0,304.0,304.0,304.0,1.0
1,33.0,female,English,1,159,5,He was built with muscle and liked to throw his weight around.,muscle,5,Was he a large man?,y,112.0,112.0,112.0,112.0,1.0
1,33.0,female,English,1,159,5,He was built with muscle and liked to throw his weight around.,and,6,Was he a large man?,y,240.0,240.0,240.0,240.0,1.0
1,33.0,female,English,1,159,5,He was built with muscle and liked to throw his weight around.,liked,7,Was he a large man?,y,312.0,312.0,312.0,444.0,1.0
1,33.0,female,English,1,159,5,He was built with muscle and liked to throw his weight around.,to,8,Was he a large man?,y,,,,,1.0
1,33.0,female,English,1,159,5,He was built with muscle and liked to throw his weight around.,throw,9,Was he a large man?,y,228.0,228.0,228.0,228.0,1.0
1,33.0,female,English,1,159,5,He was built with muscle and liked to throw his weight around.,his,10,Was he a large man?,y,136.0,136.0,136.0,136.0,1.0
1,33.0,female,English,1,159,5,He was built with muscle and liked to throw his weight around.,weight,11,Was he a large man?,y,236.0,236.0,236.0,236.0,1.0
1,33.0,female,English,1,159,5,He was built with muscle and liked to throw his weight around.,around.,12,Was he a large man?,y,660.0,820.0,820.0,1064.0,1.0
1,33.0,female,English,1,77,6,Shut your smart foul mouth and sit down.,Shut,1,Were you told to be quiet?,y,100.0,264.0,264.0,264.0,1.0
1,33.0,female,English,1,77,6,Shut your smart foul mouth and sit down.,your,2,Were you told to be quiet?,y,220.0,528.0,528.0,528.0,1.0
1,33.0,female,English,1,77,6,Shut your smart foul mouth and sit down.,smart,3,Were you told to be quiet?,y,244.0,244.0,244.0,244.0,1.0
1,33.0,female,English,1,77,6,Shut your smart foul mouth and sit down.,foul,4,Were you told to be quiet?,y,408.0,408.0,408.0,408.0,1.0
1,33.0,female,English,1,77,6,Shut your smart foul mouth and sit down.,mouth,5,Were you told to be quiet?,y,384.0,384.0,384.0,384.0,1.0
1,33.0,female,English,1,77,6,Shut your smart foul mouth and sit down.,and,6,Were you told to be quiet?,y,168.0,168.0,168.0,168.0,1.0
1,33.0,female,English,1,77,6,Shut your smart foul mouth and sit down.,sit,7,Were you told to be quiet?,y,316.0,316.0,316.0,316.0,1.0
1,33.0,female,English,1,77,6,Shut your smart foul mouth and sit down.,down.,8,Were you told to be quiet?,y,64.0,64.0,64.0,544.0,1.0
1,33.0,female,English,1,176,7,The first knife caught in her skirt and she shook it free.,The,1,Was she injured by the first knife?,n,284.0,284.0,284.0,284.0,1.0
1,33.0,female,English,1,176,7,The first knife caught in her skirt and she shook it free.,first,2,Was she injured by the first knife?,n,184.0,184.0,184.0,184.0,1.0
1,33.0,female,English,1,176,7,The first knife caught in her skirt and she shook it free.,knife,3,Was she injured by the first knife?,n,272.0,272.0,272.0,272.0,1.0
1,33.0,female,English,1,176,7,The first knife caught in her skirt and she shook it free.,caught,4,Was she injured by the first knife?,n,352.0,352.0,352.0,352.0,1.0
1,33.0,female,English,1,176,7,The first knife caught in her skirt and she shook it free.,in,5,Was she injured by the first knife?,n,600.0,600.0,600.0,600.0,1.0
1,33.0,female,English,1,176,7,The first knife caught in her skirt and she shook it free.,her,6,Was she injured by the first knife?,n,280.0,280.0,280.0,280.0,1.0
1,33.0,female,English,1,176,7,The first knife caught in her skirt and she shook it free.,skirt,7,Was she injured by the first knife?,n,196.0,196.0,384.0,664.0,1.0
1,33.0,female,English,1,176,7,The first knife caught in her skirt and she shook it free.,and,8,Was she injured by the first knife?,n,160.0,160.0,160.0,160.0,1.0
1,33.0,female,English,1,176,7,The first knife caught in her skirt and she shook it free.,she,9,Was she injured by the first knife?,n,288.0,288.0,288.0,288.0,1.0
1,33.0,female,English,1,176,7,The first knife caught in her skirt and she shook it free.,shook,10,Was she injured by the first knife?,n,348.0,348.0,348.0,348.0,1.0
1,33.0,female,English,1,176,7,The first knife caught in her skirt and she shook it free.,it,11,Was she injured by the first knife?,n,,,,,1.0
1,33.0,female,English,1,176,7,The first knife caught in her skirt and she shook it free.,free.,12,Was she injured by the first knife?,n,188.0,188.0,432.0,3240.0,1.0
1,33.0,female,English,1,86,8,"Good God, if you are watching, give me strength.",Good,1,,,108.0,432.0,432.0,432.0,
1,33.0,female,English,1,86,8,"Good God, if you are watching, give me strength.","God,",2,,,452.0,452.0,452.0,452.0,
1,33.0,female,English,1,86,8,"Good God, if you are watching, give me strength.",if,3,,,312.0,708.0,708.0,708.0,
1,33.0,female,English,1,86,8,"Good God, if you are watching, give me strength.",you,4,,,200.0,200.0,200.0,200.0,
1,33.0,female,English,1,86,8,"Good God, if you are watching, give me strength.",are,5,,,240.0,372.0,372.0,372.0,
1,33.0,female,English,1,86,8,"Good God, if you are watching, give me strength.","watching,",6,,,48.0,196.0,196.0,196.0,
1,33.0,female,English,1,86,8,"Good God, if you are watching, give me strength.",give,7,,,372.0,372.0,372.0,372.0,
1,33.0,female,English,1,86,8,"Good God, if you are watching, give me strength.",me,8,,,140.0,140.0,140.0,420.0,
1,33.0,female,English,1,86,8,"Good God, if you are watching, give me strength.",strength.,9,,,164.0,164.0,736.0,8508.0,
1,33.0,female,English,1,246,9,James was only in the cell for an hour but it felt like a week.,James,1,Did James spend a week in the cell?,n,288.0,288.0,288.0,288.0,1.0
1,33.0,female,English,1,246,9,James was only in the cell for an hour but it felt like a week.,was,2,Did James spend a week in the cell?,n,164.0,164.0,164.0,164.0,1.0
1,33.0,female,English,1,246,9,James was only in the cell for an hour but it felt like a week.,only,3,Did James spend a week in the cell?,n,232.0,232.0,232.0,232.0,1.0
1,33.0,female,English,1,246,9,James was only in the cell for an hour but it felt like a week.,in,4,Did James spend a week in the cell?,n,124.0,124.0,124.0,596.0,1.0
1,33.0,female,English,1,246,9,James was only in the cell for an hour but it felt like a week.,the,5,Did James spend a week in the cell?,n,332.0,332.0,332.0,332.0,1.0
1,33.0,female,English,1,246,9,James was only in the cell for an hour but it felt like a week.,cell,6,Did James spend a week in the cell?,n,144.0,144.0,320.0,1128.0,1.0
1,33.0,female,English,1,246,9,James was only in the cell for an hour but it felt like a week.,for,7,Did James spend a week in the cell?,n,276.0,276.0,276.0,276.0,1.0
1,33.0,female,English,1,246,9,James was only in the cell for an hour but it felt like a week.,an,8,Did James spend a week in the cell?,n,204.0,204.0,204.0,204.0,1.0
1,33.0,female,English,1,246,9,James was only in the cell for an hour but it felt like a week.,hour,9,Did James spend a week in the cell?,n,,,,,1.0
1,33.0,female,English,1,246,9,James was only in the cell for an hour but it felt like a week.,but,10,Did James spend a week in the cell?,n,248.0,248.0,248.0,248.0,1.0
1,33.0,female,English,1,246,9,James was only in the cell for an hour but it felt like a week.,it,11,Did James spend a week in the cell?,n,,,,,1.0
1,33.0,female,English,1,246,9,James was only in the cell for an hour but it felt like a week.,felt,12,Did James spend a week in the cell?,n,292.0,292.0,292.0,292.0,1.0
1,33.0,female,English,1,246,9,James was only in the cell for an hour but it felt like a week.,like,13,Did James spend a week in the cell?,n,164.0,164.0,164.0,396.0,1.0
1,33.0,female,English,1,246,9,James was only in the cell for an hour but it felt like a week.,a,14,Did James spend a week in the cell?,n,376.0,376.0,376.0,376.0,1.0
1,33.0,female,English,1,246,9,James was only in the cell for an hour but it felt like a week.,week.,15,Did James spend a week in the cell?,n,208.0,208.0,208.0,208.0,1.0
1,33.0,female,English,1,166,10,James walked in to wake Samuel at four thirty in the morning.,James,1,Was it John who woke Samuel?,n,312.0,312.0,312.0,312.0,1.0
1,33.0,female,English,1,166,10,James walked in to wake Samuel at four thirty in the morning.,walked,2,Was it John who woke Samuel?,n,164.0,164.0,164.0,164.0,1.0
1,33.0,female,English,1,166,10,James walked in to wake Samuel at four thirty in the morning.,in,3,Was it John who woke Samuel?,n,432.0,432.0,432.0,432.0,1.0
1,33.0,female,English,1,166,10,James walked in to wake Samuel at four thirty in the morning.,to,4,Was it John who woke Samuel?,n,268.0,268.0,268.0,268.0,1.0
1,33.0,female,English,1,166,10,James walked in to wake Samuel at four thirty in the morning.,wake,5,Was it John who woke Samuel?,n,164.0,288.0,288.0,464.0,1.0
1,33.0,female,English,1,166,10,James walked in to wake Samuel at four thirty in the morning.,Samuel,6,Was it John who woke Samuel?,n,172.0,172.0,1188.0,2932.0,1.0
