Recommended Column Name,Description
accuracy,Binary indicator of whether the participant's response was correct.
condition,Experimental condition assigned to the trial.
experiment,Identifier for the experiment or worksheet source.
list,Dataset-specific numeric surrogate for the studied/critical-lure list identity.
list_name,Critical-lure label identifying the list (e.g.
participant_id,Unique identifier assigned to each participant.
phase_id,Identifier for the experimental phase or block a trial belongs to.
response,Participant's response; missing for study-phase rows.
stimulus,The word presented in the current study or recognition trial.
trial_id,Unique identifier for a single trial within a session or condition.
trial_order,Presentation order within the session (0-indexed).
