experiment,participant_id,trial_label,trial_order,phase_id,list,list_name,stimulus,condition,response,accuracy
EXP.1,1,study_t0,0,study,1.0,ago,filo,studied_word,,
EXP.1,1,study_t1,1,study,1.0,ago,puntura,studied_word,,
EXP.1,1,study_t2,2,study,1.0,ago,pagliaio,studied_word,,
EXP.1,1,study_t3,3,study,1.0,ago,punta,studied_word,,
EXP.1,1,study_t4,4,study,1.0,ago,cucito,studied_word,,
EXP.1,1,study_t5,5,study,1.0,ago,bilancia,studied_word,,
EXP.1,1,study_t6,6,study,1.0,ago,cucire,studied_word,,
EXP.1,1,study_t7,7,study,1.0,ago,dolore,studied_word,,
EXP.1,1,study_t8,8,study,1.0,ago,abito,studied_word,,
EXP.1,1,study_t9,9,study,1.0,ago,cammello,studied_word,,
EXP.1,1,study_t10,10,study,1.0,ago,siringa,studied_word,,
EXP.1,1,study_t11,11,study,1.0,ago,ditale,studied_word,,
EXP.1,1,study_t12,12,study,3.0,amaro,dolce,studied_word,,
EXP.1,1,study_t13,13,study,3.0,amaro,liquore,studied_word,,
EXP.1,1,study_t14,14,study,3.0,amaro,aspro,studied_word,,
EXP.1,1,study_t15,15,study,3.0,amaro,lucano,studied_word,,
EXP.1,1,study_t16,16,study,3.0,amaro,caffè,studied_word,,
EXP.1,1,study_t17,17,study,3.0,amaro,cioccolato,studied_word,,
EXP.1,1,study_t18,18,study,3.0,amaro,bocca,studied_word,,
EXP.1,1,study_t19,19,study,3.0,amaro,digerire,studied_word,,
EXP.1,1,study_t20,20,study,3.0,amaro,acre,studied_word,,
EXP.1,1,study_t21,21,study,3.0,amaro,alcolico,studied_word,,
EXP.1,1,study_t22,22,study,3.0,amaro,averna,studied_word,,
EXP.1,1,study_t23,23,study,3.0,amaro,gusto,studied_word,,
EXP.1,1,study_t24,24,study,4.0,bandiera,italia,studied_word,,
EXP.1,1,study_t25,25,study,4.0,bandiera,rossa,studied_word,,
EXP.1,1,study_t26,26,study,4.0,bandiera,tricolore,studied_word,,
EXP.1,1,study_t27,27,study,4.0,bandiera,vento,studied_word,,
EXP.1,1,study_t28,28,study,4.0,bandiera,nazione,studied_word,,
EXP.1,1,study_t29,29,study,4.0,bandiera,bianca,studied_word,,
EXP.1,1,study_t30,30,study,4.0,bandiera,alza,studied_word,,
EXP.1,1,study_t31,31,study,4.0,bandiera,asta,studied_word,,
EXP.1,1,study_t32,32,study,4.0,bandiera,colore,studied_word,,
EXP.1,1,study_t33,33,study,4.0,bandiera,italiana,studied_word,,
EXP.1,1,study_t34,34,study,4.0,bandiera,strisce,studied_word,,
EXP.1,1,study_t35,35,study,4.0,bandiera,cuore,studied_word,,
EXP.1,1,study_t36,36,study,5.0,fiume,foce,studied_word,,
EXP.1,1,study_t37,37,study,5.0,fiume,affluente,studied_word,,
EXP.1,1,study_t38,38,study,5.0,fiume,scorrere,studied_word,,
EXP.1,1,study_t39,39,study,5.0,fiume,diga,studied_word,,
EXP.1,1,study_t40,40,study,5.0,fiume,pescare,studied_word,,
EXP.1,1,study_t41,41,study,5.0,fiume,ponte,studied_word,,
EXP.1,1,study_t42,42,study,5.0,fiume,torrente,studied_word,,
EXP.1,1,study_t43,43,study,5.0,fiume,corrente,studied_word,,
EXP.1,1,study_t44,44,study,5.0,fiume,flusso,studied_word,,
EXP.1,1,study_t45,45,study,5.0,fiume,pesce,studied_word,,
EXP.1,1,study_t46,46,study,5.0,fiume,arno,studied_word,,
EXP.1,1,study_t47,47,study,5.0,fiume,lungo,studied_word,,
EXP.1,1,study_t48,48,study,9.0,ladro,furfante,studied_word,,
EXP.1,1,study_t49,49,study,9.0,ladro,truffatore,studied_word,,
EXP.1,1,study_t50,50,study,9.0,ladro,rubare,studied_word,,
EXP.1,1,study_t51,51,study,9.0,ladro,rapinatore,studied_word,,
EXP.1,1,study_t52,52,study,9.0,ladro,scippo,studied_word,,
EXP.1,1,study_t53,53,study,9.0,ladro,delinquente,studied_word,,
EXP.1,1,study_t54,54,study,9.0,ladro,scassinare,studied_word,,
EXP.1,1,study_t55,55,study,9.0,ladro,bandito,studied_word,,
EXP.1,1,study_t56,56,study,9.0,ladro,rapina,studied_word,,
EXP.1,1,study_t57,57,study,9.0,ladro,assassino,studied_word,,
EXP.1,1,study_t58,58,study,9.0,ladro,prigione,studied_word,,
EXP.1,1,study_t59,59,study,9.0,ladro,sbirro,studied_word,,
EXP.1,1,study_t60,60,study,12.0,musica,concerto,studied_word,,
EXP.1,1,study_t61,61,study,12.0,musica,pentagramma,studied_word,,
EXP.1,1,study_t62,62,study,12.0,musica,radio,studied_word,,
EXP.1,1,study_t63,63,study,12.0,musica,ritmo,studied_word,,
EXP.1,1,study_t64,64,study,12.0,musica,melodia,studied_word,,
EXP.1,1,study_t65,65,study,12.0,musica,sassofono,studied_word,,
EXP.1,1,study_t66,66,study,12.0,musica,strumento,studied_word,,
EXP.1,1,study_t67,67,study,12.0,musica,nota,studied_word,,
EXP.1,1,study_t68,68,study,12.0,musica,sinfonia,studied_word,,
EXP.1,1,study_t69,69,study,12.0,musica,arpa,studied_word,,
EXP.1,1,study_t70,70,study,12.0,musica,disco,studied_word,,
EXP.1,1,study_t71,71,study,12.0,musica,pianoforte,studied_word,,
EXP.1,1,study_t72,72,study,14.0,ragno,tela,studied_word,,
EXP.1,1,study_t73,73,study,14.0,ragno,ragnatela,studied_word,,
EXP.1,1,study_t74,74,study,14.0,ragno,guadagno,studied_word,,
EXP.1,1,study_t75,75,study,14.0,ragno,insetto,studied_word,,
EXP.1,1,study_t76,76,study,14.0,ragno,zampe,studied_word,,
EXP.1,1,study_t77,77,study,14.0,ragno,animale,studied_word,,
EXP.1,1,study_t78,78,study,14.0,ragno,paura,studied_word,,
EXP.1,1,study_t79,79,study,14.0,ragno,mosca,studied_word,,
EXP.1,1,study_t80,80,study,14.0,ragno,amaca,studied_word,,
EXP.1,1,study_t81,81,study,14.0,ragno,velenoso,studied_word,,
EXP.1,1,study_t82,82,study,14.0,ragno,buco,studied_word,,
