Recommended Column Name,Description
accuracy,Binary indicator of whether the participant's response matched the expected answer for the condition.
age,Participant age.
condition,Binary recognition condition from the source data (studied vs new).
experiment,Identifier for the source experiment/file.
gender,Participant gender
participant_id,Unique identifier assigned to each participant.
phase_id,Identifier for the experimental phase or block a trial belongs to.
probe_type,Fine-grained recognition probe type from the source data (studied
response,Participant recognition response.
rt,Response time for the trial in milliseconds.
stimulus,The recognition probe word presented on the trial.
trial_id,Unique identifier for a single trial within a session or condition.
trial_order,Original within-session trial order from the cleaned dataset (0-indexed after preprocessing; gaps may remain for unanswered/missing trials).
