experiment,participant_id,trial_id,trial_order,phase_id,stimulus,probe_type,condition,response,accuracy,rt,age,gender,rt_measure
data_DRM,1,recognition_t0,0,recognition,pipa,studied,studied,1,1,1734,31,F,keypress
data_DRM,1,recognition_t1,1,recognition,tabacco,studied,studied,0,0,1804,31,F,keypress
data_DRM,1,recognition_t2,2,recognition,nicotina,studied,studied,0,0,3145,31,F,keypress
data_DRM,1,recognition_t7,7,recognition,scuola,studied,studied,0,0,2193,31,F,keypress
data_DRM,1,recognition_t8,8,recognition,tavolo,studied,studied,1,1,1578,31,F,keypress
data_DRM,1,recognition_t9,9,recognition,gambe,studied,studied,1,1,1685,31,F,keypress
data_DRM,1,recognition_t13,13,recognition,ritmo,studied,studied,1,1,2019,31,F,keypress
data_DRM,1,recognition_t15,15,recognition,arpa,studied,studied,1,1,1623,31,F,keypress
data_DRM,1,recognition_t18,18,recognition,neve,studied,studied,1,1,1366,31,F,keypress
data_DRM,1,recognition_t19,19,recognition,tiepido,studied,studied,0,0,2973,31,F,keypress
data_DRM,1,recognition_t20,20,recognition,ira,studied,studied,0,0,2685,31,F,keypress
data_DRM,1,recognition_t21,21,recognition,imbestialire,studied,studied,1,1,1748,31,F,keypress
data_DRM,1,recognition_t22,22,recognition,odio,studied,studied,0,0,2450,31,F,keypress
data_DRM,1,recognition_t24,24,recognition,italia,studied,studied,1,1,1366,31,F,keypress
data_DRM,1,recognition_t28,28,recognition,furfante,studied,studied,1,1,1963,31,F,keypress
data_DRM,1,recognition_t32,32,recognition,filo,studied,studied,1,1,3443,31,F,keypress
data_DRM,1,recognition_t33,33,recognition,punta,studied,studied,1,1,1297,31,F,keypress
data_DRM,1,recognition_t34,34,recognition,cucire,studied,studied,1,1,2604,31,F,keypress
data_DRM,1,recognition_t36,36,recognition,caldo,studied,studied,1,1,1365,31,F,keypress
data_DRM,1,recognition_t37,37,recognition,lievito,studied,studied,1,1,1942,31,F,keypress
data_DRM,1,recognition_t39,39,recognition,pasta,studied,studied,0,0,1866,31,F,keypress
data_DRM,1,recognition_t43,43,recognition,pesce,studied,studied,0,0,1991,31,F,keypress
data_DRM,1,recognition_t47,47,recognition,velenoso,studied,studied,0,0,2574,31,F,keypress
data_DRM,1,recognition_t48,48,recognition,puzza,weakly,new,0,1,1435,31,F,keypress
data_DRM,1,recognition_t54,54,recognition,suono,weakly,new,0,1,2282,31,F,keypress
data_DRM,1,recognition_t55,55,recognition,chitarra,weakly,new,0,1,1643,31,F,keypress
data_DRM,1,recognition_t56,56,recognition,naso,weakly,new,0,1,1963,31,F,keypress
data_DRM,1,recognition_t57,57,recognition,sciare,weakly,new,0,1,1741,31,F,keypress
data_DRM,1,recognition_t58,58,recognition,colpa,weakly,new,0,1,1991,31,F,keypress
data_DRM,1,recognition_t63,63,recognition,carcere,weakly,new,1,0,2970,31,F,keypress
data_DRM,1,recognition_t66,66,recognition,chilo,weakly,new,0,1,1630,31,F,keypress
data_DRM,1,recognition_t68,68,recognition,valle,weakly,new,1,0,2102,31,F,keypress
data_DRM,1,recognition_t73,73,recognition,rabbia,critical,new,1,0,1588,31,F,keypress
data_DRM,1,recognition_t75,75,recognition,freddo,critical,new,1,0,2102,31,F,keypress
data_DRM,1,recognition_t76,76,recognition,bandiera,critical,new,0,1,2422,31,F,keypress
data_DRM,1,recognition_t77,77,recognition,musica,critical,new,0,1,1741,31,F,keypress
data_DRM,1,recognition_t79,79,recognition,fiume,critical,new,0,1,2428,31,F,keypress
data_DRM,1,recognition_t82,82,recognition,ragno,critical,new,1,0,3178,31,F,keypress
data_DRM,1,recognition_t83,83,recognition,ladro,critical,new,0,1,1754,31,F,keypress
data_DRM,1,recognition_t84,84,recognition,caramella,unrelated,new,0,1,2158,31,F,keypress
data_DRM,1,recognition_t85,85,recognition,desiderio,unrelated,new,0,1,2284,31,F,keypress
data_DRM,1,recognition_t87,87,recognition,treno,unrelated,new,0,1,1845,31,F,keypress
data_DRM,1,recognition_t90,90,recognition,bellezza,unrelated,new,0,1,2477,31,F,keypress
data_DRM,1,recognition_t91,91,recognition,equita,unrelated,new,0,1,1706,31,F,keypress
data_DRM,1,recognition_t93,93,recognition,nuvola,unrelated,new,0,1,2706,31,F,keypress
data_DRM,1,recognition_t94,94,recognition,onore,unrelated,new,0,1,1276,31,F,keypress
data_DRM,1,recognition_t95,95,recognition,scarpa,unrelated,new,1,0,2581,31,F,keypress
data_DRM,2,recognition_t1,1,recognition,tabacco,studied,studied,1,1,1587,30,M,keypress
data_DRM,2,recognition_t2,2,recognition,nicotina,studied,studied,1,1,1818,30,M,keypress
data_DRM,2,recognition_t3,3,recognition,inquinamento,studied,studied,0,0,1804,30,M,keypress
data_DRM,2,recognition_t5,5,recognition,foglio,studied,studied,1,1,1722,30,M,keypress
data_DRM,2,recognition_t6,6,recognition,nera,studied,studied,0,0,1880,30,M,keypress
data_DRM,2,recognition_t8,8,recognition,tavolo,studied,studied,1,1,1076,30,M,keypress
data_DRM,2,recognition_t9,9,recognition,gambe,studied,studied,1,1,1284,30,M,keypress
data_DRM,2,recognition_t12,12,recognition,concerto,studied,studied,1,1,1683,30,M,keypress
data_DRM,2,recognition_t13,13,recognition,ritmo,studied,studied,0,0,1195,30,M,keypress
data_DRM,2,recognition_t15,15,recognition,arpa,studied,studied,1,1,2006,30,M,keypress
data_DRM,2,recognition_t18,18,recognition,neve,studied,studied,1,1,1372,30,M,keypress
data_DRM,2,recognition_t21,21,recognition,imbestialire,studied,studied,1,1,1963,30,M,keypress
data_DRM,2,recognition_t23,23,recognition,malcontento,studied,studied,0,0,2873,30,M,keypress
data_DRM,2,recognition_t27,27,recognition,italiana,studied,studied,1,1,1089,30,M,keypress
data_DRM,2,recognition_t29,29,recognition,rapinatore,studied,studied,1,1,2076,30,M,keypress
data_DRM,2,recognition_t31,31,recognition,assassino,studied,studied,1,1,2957,30,M,keypress
