Recommended Column Name,Description
accuracy,Binary indicator of whether the participant's response was correct.
age,Participant age.
experiment,Experiment identifier for this dataset.
gender,Participant gender normalized to uppercase.
hand,Handedness normalized to left/right.
participant_id,Unique identifier assigned to each participant.
phase_id,Identifier for the experimental phase or block a trial belongs to.
prime,Prime word presented on the trial.
response,Participant's binary response.
response_correct,Correct binary response from the source data.
rt,Response time converted to numeric milliseconds from the source RTs column.
rt_measure,What rt measures in this dataset: keypress (stimulus-locked key or button press latency).
target,Target word presented on the trial.
trial_label,"A readable label for the trial, such as a phase prefix plus the position. Not an identifier: the same value recurs for every participant, so join on (participant_id, trial_order) instead."
trial_order,Presentation order within the session (0-indexed).
