Recommended Column Name,Description
age,Participant age.
condition_raw,Original condition code from the source dataset.
device,Input device used in EXP2.
experiment,Experiment identifier (EXP1 or EXP2).
gender,Participant gender normalized to F/M where possible.
hand,Handedness normalized from the source data; available in EXP1 only.
participant_id,Unique identifier assigned to each participant.
phase_id,Identifier for the experimental phase or block a trial belongs to.
response,Chosen word.
response_side,Side of the chosen word (left or right).
rt,Response time for the trial in milliseconds; available in EXP1 only.
stimulus_left,Left-side word shown on the trial.
stimulus_right,Right-side word shown on the trial.
trial_id,Unique identifier for a single trial within a session or condition.
trial_order,Presentation order within the session (0-indexed).
