experiment,participant_id,trial_id,trial_order,phase_id,stimulus_left,stimulus_right,response,response_side,condition_raw,rt,age,gender,hand,rt_measure
EXP1,1,exp1_t0,0,judgment,dono,perspicacia,perspicacia,right,A,1975.0,24,M,right,keypress
EXP1,1,exp1_t1,1,judgment,incidente,colpa,colpa,right,A,1471.0,24,M,right,keypress
EXP1,1,exp1_t2,2,judgment,lussuria,prateria,lussuria,left,A,2797.0,24,M,right,keypress
EXP1,1,exp1_t3,3,judgment,insolente,vasca,insolente,left,A,1218.0,24,M,right,keypress
EXP1,1,exp1_t4,4,judgment,camera,cortesia,cortesia,right,A,1938.0,24,M,right,keypress
EXP1,1,exp1_t5,5,judgment,musica,violino,musica,left,A,1453.0,24,M,right,keypress
EXP1,1,exp1_t6,6,judgment,avventura,vacanza,avventura,left,A,1470.0,24,M,right,keypress
EXP1,1,exp1_t7,7,judgment,scarafaggio,orribile,orribile,right,A,1436.0,24,M,right,keypress
EXP1,1,exp1_t8,8,judgment,laureato,dio,dio,right,A,1874.0,24,M,right,keypress
EXP1,1,exp1_t9,9,judgment,assediato,ferito,assediato,left,A,1068.0,24,M,right,keypress
EXP1,1,exp1_t10,10,judgment,rosso,bicchiere,rosso,left,A,1443.0,24,M,right,keypress
EXP1,1,exp1_t11,11,judgment,estasi,sughero,estasi,left,A,1508.0,24,M,right,keypress
EXP1,1,exp1_t12,12,judgment,mercato,vantaggio,vantaggio,right,A,1143.0,24,M,right,keypress
EXP1,1,exp1_t13,13,judgment,dollaro,utile,utile,right,A,1054.0,24,M,right,keypress
EXP1,1,exp1_t14,14,judgment,piatto,insipido,insipido,right,A,988.0,24,M,right,keypress
EXP1,1,exp1_t15,15,judgment,muscoloso,debole,debole,right,A,2495.0,24,M,right,keypress
EXP1,1,exp1_t16,16,judgment,disprezzo,sorriso,disprezzo,left,A,2722.0,24,M,right,keypress
EXP1,1,exp1_t17,17,judgment,aereo,allerta,allerta,right,A,2408.0,24,M,right,keypress
EXP1,1,exp1_t18,18,judgment,grezzo,barile,grezzo,left,A,1503.0,24,M,right,keypress
EXP1,1,exp1_t19,19,judgment,pianta,saggio,saggio,right,A,2757.0,24,M,right,keypress
EXP1,1,exp1_t20,20,judgment,cappello,rovente,rovente,right,A,2539.0,24,M,right,keypress
EXP1,1,exp1_t21,21,judgment,ricatto,schiaffo,ricatto,left,A,2779.0,24,M,right,keypress
EXP1,1,exp1_t22,22,judgment,crepuscolo,orologio,crepuscolo,left,A,1457.0,24,M,right,keypress
EXP1,1,exp1_t23,23,judgment,lavare,attivare,attivare,right,A,2890.0,24,M,right,keypress
EXP1,1,exp1_t24,24,judgment,vetro,giustizia,giustizia,right,A,918.0,24,M,right,keypress
EXP1,1,exp1_t25,25,judgment,ulivo,ambizione,ambizione,right,A,960.0,24,M,right,keypress
EXP1,1,exp1_t26,26,judgment,pentola,mente,mente,right,A,1317.0,24,M,right,keypress
EXP1,1,exp1_t27,27,judgment,immorale,attrezzo,immorale,left,A,1031.0,24,M,right,keypress
EXP1,1,exp1_t28,28,judgment,puzza,stufa,puzza,left,A,2403.0,24,M,right,keypress
EXP1,1,exp1_t29,29,judgment,paralisi,sedia,paralisi,left,A,2008.0,24,M,right,keypress
EXP1,1,exp1_t30,30,judgment,idiota,scimmia,idiota,left,A,2387.0,24,M,right,keypress
EXP1,1,exp1_t31,31,judgment,pugnale,fortuito,fortuito,right,A,2140.0,24,M,right,keypress
EXP1,1,exp1_t32,32,judgment,dentista,fiducioso,fiducioso,right,A,1323.0,24,M,right,keypress
EXP1,1,exp1_t33,33,judgment,carcere,pena,pena,right,A,1454.0,24,M,right,keypress
EXP1,1,exp1_t34,34,judgment,precipizio,orrore,orrore,right,A,1371.0,24,M,right,keypress
EXP1,1,exp1_t35,35,judgment,intelletto,idrante,intelletto,left,A,1241.0,24,M,right,keypress
EXP1,1,exp1_t36,36,judgment,libreria,spazio,spazio,right,A,1902.0,24,M,right,keypress
EXP1,1,exp1_t37,37,judgment,maglia,vincere,vincere,right,A,2470.0,24,M,right,keypress
EXP1,1,exp1_t38,38,judgment,poesia,penna,poesia,left,A,2812.0,24,M,right,keypress
EXP1,1,exp1_t39,39,judgment,paletta,collisione,collisione,right,A,1751.0,24,M,right,keypress
EXP1,1,exp1_t40,40,judgment,tromba,potenza,potenza,right,A,2557.0,24,M,right,keypress
EXP1,1,exp1_t41,41,judgment,dormire,paradiso,paradiso,right,A,1637.0,24,M,right,keypress
EXP1,1,exp1_t42,42,judgment,rasoio,stritolare,stritolare,right,A,1504.0,24,M,right,keypress
EXP1,1,exp1_t43,43,judgment,onore,vino,onore,left,A,1155.0,24,M,right,keypress
EXP1,1,exp1_t44,44,judgment,maniaco,ossessione,ossessione,right,A,1756.0,24,M,right,keypress
EXP1,1,exp1_t45,45,judgment,attico,modesto,modesto,right,A,1499.0,24,M,right,keypress
EXP1,1,exp1_t46,46,judgment,cavallo,arte,arte,right,A,1458.0,24,M,right,keypress
EXP1,1,exp1_t47,47,judgment,vaso,gloria,gloria,right,A,1507.0,24,M,right,keypress
EXP1,1,exp1_t48,48,judgment,magnifico,zanzara,magnifico,left,A,925.0,24,M,right,keypress
EXP1,1,exp1_t49,49,judgment,infuriato,forchetta,infuriato,left,A,1340.0,24,M,right,keypress
EXP1,1,exp1_t50,50,judgment,abito,solenne,solenne,right,A,1216.0,24,M,right,keypress
EXP1,1,exp1_t51,51,judgment,meraviglia,cornice,meraviglia,left,A,2211.0,24,M,right,keypress
EXP1,1,exp1_t52,52,judgment,tavolo,pressione,pressione,right,A,1907.0,24,M,right,keypress
EXP1,1,exp1_t53,53,judgment,gattino,dettaglio,dettaglio,right,A,2441.0,24,M,right,keypress
EXP1,1,exp1_t54,54,judgment,finestra,triste,triste,right,A,923.0,24,M,right,keypress
EXP1,1,exp1_t55,55,judgment,brutale,miele,brutale,left,A,1124.0,24,M,right,keypress
EXP1,1,exp1_t56,56,judgment,deforme,tronco,deforme,left,A,1869.0,24,M,right,keypress
EXP1,1,exp1_t57,57,judgment,fastidio,naso,fastidio,left,A,2388.0,24,M,right,keypress
EXP1,1,exp1_t58,58,judgment,scrivania,pensieroso,pensieroso,right,A,1887.0,24,M,right,keypress
EXP1,1,exp1_t59,59,judgment,fetido,calza,fetido,left,A,1369.0,24,M,right,keypress
EXP1,1,exp1_t60,60,judgment,ispirato,geranio,ispirato,left,A,1507.0,24,M,right,keypress
EXP1,1,exp1_t61,61,judgment,diavolo,prigione,diavolo,left,A,1875.0,24,M,right,keypress
EXP1,1,exp1_t62,62,judgment,annoiato,mestolo,annoiato,left,A,1121.0,24,M,right,keypress
EXP1,1,exp1_t63,63,judgment,appetitoso,pizza,appetitoso,left,A,1177.0,24,M,right,keypress
