experiment,participant_id,trial_id,trial_order,phase_id,stimulus_left,stimulus_right,response,response_side,condition_raw,device,age,gender,rt_measure
EXP2,1,exp2_t0,0,judgment,ulivo,ambizione,ambizione,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t1,1,judgment,orecchio,disturbare,disturbare,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t2,2,judgment,leggenda,scala,leggenda,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t3,3,judgment,caos,quaderno,caos,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t4,4,judgment,ispirato,geranio,ispirato,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t5,5,judgment,coltello,demonio,demonio,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t6,6,judgment,maniaco,ossessione,ossessione,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t7,7,judgment,precipizio,orrore,orrore,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t8,8,judgment,idiota,scimmia,idiota,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t9,9,judgment,dentista,fiducioso,fiducioso,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t10,10,judgment,insolente,vasca,insolente,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t11,11,judgment,dono,perspicacia,perspicacia,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t12,12,judgment,finestra,triste,triste,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t13,13,judgment,giardino,salute,salute,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t14,14,judgment,maglia,vincere,vincere,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t15,15,judgment,fastidio,naso,fastidio,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t16,16,judgment,disprezzo,sorriso,disprezzo,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t17,17,judgment,paralisi,sedia,paralisi,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t18,18,judgment,riparato,tenda,riparato,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t19,19,judgment,poesia,penna,poesia,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t20,20,judgment,buio,balcone,buio,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t21,21,judgment,laureato,dio,dio,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t22,22,judgment,camera,cortesia,cortesia,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t23,23,judgment,incidente,colpa,colpa,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t24,24,judgment,veloce,vespa,veloce,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t25,25,judgment,gatto,spaventato,spaventato,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t26,26,judgment,mobilita,gomma,mobilita,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t27,27,judgment,stanco,divano,stanco,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t28,28,judgment,causa,stomaco,causa,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t29,29,judgment,estasi,sughero,estasi,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t30,30,judgment,libreria,spazio,spazio,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t31,31,judgment,prestigio,lusso,prestigio,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t32,32,judgment,miracolo,applauso,miracolo,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t33,33,judgment,vaso,gloria,gloria,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t34,34,judgment,scrivania,pensieroso,pensieroso,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t35,35,judgment,umano,morale,morale,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t36,36,judgment,elefante,innocente,innocente,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t37,37,judgment,muscoloso,debole,debole,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t38,38,judgment,infuriato,forchetta,forchetta,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t39,39,judgment,gomito,astio,astio,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t40,40,judgment,vetro,giustizia,giustizia,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t41,41,judgment,giocattolo,insipido,insipido,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t42,42,judgment,aereo,allerta,allerta,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t43,43,judgment,grato,abbraccio,grato,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t44,44,judgment,meraviglia,cornice,meraviglia,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t45,45,judgment,attico,modesto,modesto,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t46,46,judgment,guarire,ospedale,guarire,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t47,47,judgment,dollaro,utile,utile,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t48,48,judgment,musica,violino,musica,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t49,49,judgment,rancido,insalata,rancido,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t50,50,judgment,infedele,sposa,infedele,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t51,51,judgment,sedile,agile,agile,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t52,52,judgment,diavolo,prigione,diavolo,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t53,53,judgment,evidente,serbatoio,evidente,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t54,54,judgment,sfera,fase,fase,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t55,55,judgment,bicicletta,passione,passione,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t56,56,judgment,frigido,forcina,frigido,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t57,57,judgment,ricatto,schiaffo,ricatto,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t58,58,judgment,pentola,mente,mente,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t59,59,judgment,appetitoso,pizza,appetitoso,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t60,60,judgment,rosso,bicchiere,rosso,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t61,61,judgment,piatto,insipido,insipido,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t62,62,judgment,abito,solenne,solenne,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t63,63,judgment,ostile,nuvoloso,ostile,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t64,64,judgment,gattino,dettaglio,dettaglio,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t65,65,judgment,latte,fetore,fetore,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t66,66,judgment,freddo,cappotto,freddo,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t67,67,judgment,vittoria,ombrello,vittoria,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t68,68,judgment,caramella,melodia,melodia,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t69,69,judgment,corrotto,gonna,corrotto,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t70,70,judgment,cavallo,arte,arte,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t71,71,judgment,carcere,pena,pena,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t72,72,judgment,fetido,calza,fetido,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t73,73,judgment,farfalla,fantasia,fantasia,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t74,74,judgment,immorale,attrezzo,immorale,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t75,75,judgment,avventura,vacanza,avventura,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t76,76,judgment,lussuria,prateria,lussuria,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t77,77,judgment,pugnale,fortuito,fortuito,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t78,78,judgment,magnifico,zanzara,magnifico,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t79,79,judgment,lenire,ferite,lenire,left,1,trackpad,24.0,F,keypress
