experiment,participant_id,trial_label,trial_order,phase_id,age,gender,gender_raw,hand,hand_raw,city_left,city_right,response_raw,response_side,correct_response,correct_side,accuracy,response_correct,rt_raw,rt_ms
geographical_judgment,  iliaria37,exp1_t0,0,judgment,21,F,FALSE,left,SX,Bolzano,Bologna,l,right,l,right,1,1,"1593,3",1593.3
geographical_judgment,  iliaria37,exp1_t1,1,judgment,21,F,FALSE,left,SX,Foggia,Bologna,l,right,l,right,1,1,"1360,3",1360.3
geographical_judgment,  iliaria37,exp1_t2,2,judgment,21,F,FALSE,left,SX,Grosseto,Bologna,l,right,l,right,1,1,"1590,6",1590.6
geographical_judgment,  iliaria37,exp1_t3,3,judgment,21,F,FALSE,left,SX,Latina,Bologna,l,right,l,right,1,1,"2673,1",2673.1
geographical_judgment,  iliaria37,exp1_t4,4,judgment,21,F,FALSE,left,SX,Livorno,Bologna,l,right,l,right,1,1,"1443,8",1443.8
geographical_judgment,  iliaria37,exp1_t5,5,judgment,21,F,FALSE,left,SX,Napoli,Bologna,a,left,l,right,0,0,"1466,1",1466.1
geographical_judgment,  iliaria37,exp1_t6,6,judgment,21,F,FALSE,left,SX,Perugia,Bologna,l,right,l,right,1,1,"936,1",936.1
geographical_judgment,  iliaria37,exp1_t7,7,judgment,21,F,FALSE,left,SX,Pescara,Bologna,l,right,l,right,1,1,"1057,8",1057.8
geographical_judgment,  iliaria37,exp1_t8,8,judgment,21,F,FALSE,left,SX,Rimini,Bologna,l,right,l,right,1,1,1733,1733.0
geographical_judgment,  iliaria37,exp1_t9,9,judgment,21,F,FALSE,left,SX,Roma,Bologna,l,right,l,right,1,1,"1402,3",1402.3
geographical_judgment,  iliaria37,exp1_t10,10,judgment,21,F,FALSE,left,SX,Bologna,Bolzano,a,left,a,left,1,1,"2227,8",2227.8
geographical_judgment,  iliaria37,exp1_t11,11,judgment,21,F,FALSE,left,SX,Foggia,Bolzano,l,right,l,right,1,1,"1564,3",1564.3
geographical_judgment,  iliaria37,exp1_t12,12,judgment,21,F,FALSE,left,SX,Grosseto,Bolzano,l,right,l,right,1,1,"2131,6",2131.6
geographical_judgment,  iliaria37,exp1_t13,13,judgment,21,F,FALSE,left,SX,Livorno,Bolzano,a,left,l,right,0,0,"2354,1",2354.1
geographical_judgment,  iliaria37,exp1_t14,14,judgment,21,F,FALSE,left,SX,Napoli,Bolzano,l,right,l,right,1,1,"1925,1",1925.1
geographical_judgment,  iliaria37,exp1_t15,15,judgment,21,F,FALSE,left,SX,Perugia,Bolzano,l,right,l,right,1,1,"2980,7",2980.7
geographical_judgment,  iliaria37,exp1_t16,16,judgment,21,F,FALSE,left,SX,Pescara,Bolzano,l,right,l,right,1,1,"2721,5",2721.5
geographical_judgment,  iliaria37,exp1_t17,17,judgment,21,F,FALSE,left,SX,Roma,Bolzano,a,left,l,right,0,0,"1313,1",1313.1
geographical_judgment,  iliaria37,exp1_t18,18,judgment,21,F,FALSE,left,SX,Taranto,Bolzano,l,right,l,right,1,1,"1761,8",1761.8
geographical_judgment,  iliaria37,exp1_t19,19,judgment,21,F,FALSE,left,SX,Bologna,Foggia,a,left,a,left,1,1,"1326,8",1326.8
geographical_judgment,  iliaria37,exp1_t20,20,judgment,21,F,FALSE,left,SX,Bolzano,Foggia,a,left,a,left,1,1,"2424,3",2424.3
geographical_judgment,  iliaria37,exp1_t21,21,judgment,21,F,FALSE,left,SX,Grosseto,Foggia,l,right,a,left,0,0,"2323,6",2323.6
geographical_judgment,  iliaria37,exp1_t22,22,judgment,21,F,FALSE,left,SX,Latina,Foggia,l,right,a,left,0,0,"1637,4",1637.4
geographical_judgment,  iliaria37,exp1_t23,23,judgment,21,F,FALSE,left,SX,Livorno,Foggia,l,right,a,left,0,0,"2075,8",2075.8
geographical_judgment,  iliaria37,exp1_t24,24,judgment,21,F,FALSE,left,SX,Napoli,Foggia,l,right,a,left,0,0,"1947,5",1947.5
geographical_judgment,  iliaria37,exp1_t25,25,judgment,21,F,FALSE,left,SX,Perugia,Foggia,l,right,a,left,0,0,"2771,8",2771.8
geographical_judgment,  iliaria37,exp1_t26,26,judgment,21,F,FALSE,left,SX,Pescara,Foggia,l,right,a,left,0,0,"1373,7",1373.7
geographical_judgment,  iliaria37,exp1_t27,27,judgment,21,F,FALSE,left,SX,Rimini,Foggia,a,left,a,left,1,1,"1009,7",1009.7
geographical_judgment,  iliaria37,exp1_t28,28,judgment,21,F,FALSE,left,SX,Taranto,Foggia,l,right,l,right,1,1,"2599,7",2599.7
geographical_judgment,  iliaria37,exp1_t29,29,judgment,21,F,FALSE,left,SX,Bologna,Grosseto,a,left,a,left,1,1,"1015,5",1015.5
geographical_judgment,  iliaria37,exp1_t30,30,judgment,21,F,FALSE,left,SX,Bolzano,Grosseto,a,left,a,left,1,1,"2048,5",2048.5
geographical_judgment,  iliaria37,exp1_t31,31,judgment,21,F,FALSE,left,SX,Foggia,Grosseto,a,left,l,right,0,0,"1672,1",1672.1
geographical_judgment,  iliaria37,exp1_t32,32,judgment,21,F,FALSE,left,SX,Latina,Grosseto,l,right,l,right,1,1,"1862,1",1862.1
geographical_judgment,  iliaria37,exp1_t33,33,judgment,21,F,FALSE,left,SX,Livorno,Grosseto,a,left,a,left,1,1,"1880,6",1880.6
geographical_judgment,  iliaria37,exp1_t34,34,judgment,21,F,FALSE,left,SX,Napoli,Grosseto,l,right,l,right,1,1,"2974,1",2974.1
geographical_judgment,  iliaria37,exp1_t35,35,judgment,21,F,FALSE,left,SX,Perugia,Grosseto,a,left,l,right,0,0,"1995,9",1995.9
geographical_judgment,  iliaria37,exp1_t36,36,judgment,21,F,FALSE,left,SX,Pescara,Grosseto,l,right,l,right,1,1,"2108,1",2108.1
geographical_judgment,  iliaria37,exp1_t37,37,judgment,21,F,FALSE,left,SX,Rimini,Grosseto,a,left,a,left,1,1,"1457,2",1457.2
geographical_judgment,  iliaria37,exp1_t38,38,judgment,21,F,FALSE,left,SX,Roma,Grosseto,a,left,l,right,0,0,"2396,8",2396.8
geographical_judgment,  iliaria37,exp1_t39,39,judgment,21,F,FALSE,left,SX,Taranto,Grosseto,l,right,l,right,1,1,"1488,8",1488.8
