Recommended Column Name,Description
accuracy,Binary indicator of whether the participant's response was correct.
age,Age of the participant at the time of the experiment.
age_first_contact,Age at which the participant was first exposed to Catalan.
device,"Type of input device used (e.g., touch device or keyboard)."
education,Highest completed education level of the participant.
exposure,"Self-reported proportion of daily exposure to Catalan, ranging from 0 (never) to 100 (always), measured in 10-point increments."
father_language,Language spoken by the participant’s father.
is_word,Binary indicator of whether the stimulus is a real Catalan word (1) or a pseudoword (0).
mother_language,Language spoken by the participant’s mother.
n_languages,"Number of languages the participant reports speaking, including Catalan (from 1 to 7 or more)."
participant_id,"Unique identifier for the participant. The source distributes only a session identifier (Id_Session), with one session per participant, so it is renumbered sequentially and used as the participant key."
proficiency,"Self-reported proficiency in Catalan, with values ranging from 1 (none) to 7 (native-like)."
raising,Place where the participant spent their early childhood.
sex,Biological sex of the participant.
stimulus,The linguistic or visual stimulus presented to the participant in a given trial.
trial_order,Presentation order within the session (0-indexed). The order in which the participant saw this trial.
