participant_id,trial_id,stimulus,best,worst,rt
197474,1,baseball - shirt; bone - chicken; brick - roof; net - clipper,brick - roof,baseball - shirt,27472
197474,2,deer - doe; adder - pushchair; sandbank - gorilla; coast - harbour,deer - doe,adder - pushchair,10814
197474,3,durham - stob; decoder - gardener; hand - necklace; airplane - camera,decoder - gardener,airplane - camera,19533
197474,4,belly - draw; office - rocket; trimmer - levee; compulsive - thruster,trimmer - levee,belly - draw,14966
197474,5,spider - web; swift - bar; tetra - garner; fruit - meat,fruit - meat,swift - bar,16683
197474,6,torch - fire; bantamweight - antbird; gate - fence; partridge - exile,gate - fence,bantamweight - antbird,11140
197474,7,guitar - string; comet - tortoise; pullman - violet; female - race,comet - tortoise,pullman - violet,19875
197474,8,guard - security; butterfly - stadium; game - husky; pink - shade,guard - security,butterfly - stadium,16749
197474,9,beef - tomato; kitchen - wash; beard - flamingo; spit - mouth,beef - tomato,beard - flamingo,14230
197474,10,court - judge; d - frog; lodging - pike; bird - insect,bird - insect,d - frog,13059
197474,11,footman - shoveler; bow - church; shade - tree; radio - draw,footman - shoveler,bow - church,14626
197474,12,daffodil - wool; screen - window; grass - stop; bouillon - shark,screen - window,grass - stop,16967
197474,13,moose - deer; launch - loach; cliff - harbour; ceiling - roof,moose - deer,launch - loach,15338
197474,14,pet - terrier; cotton - wool; daffodil - spring; sidewinder - formal,cotton - wool,sidewinder - formal,10431
197474,15,pump - bra; ceramic - church; peanut - butter; giraffe - zebra,giraffe - zebra,pump - bra,13714
197474,16,bedroom - diner; style - personality; jar - spaghetti; nickelodeon - shearwater,style - personality,jar - spaghetti,18356
197474,17,harbour - sink; capercaillie - casino; paper - vine; aspen - shrimp,paper - vine,harbour - sink,19308
197474,18,freckle - pen; skirt - white; basement - attic; park - tree,basement - attic,freckle - pen,13846
197474,19,domine - crocodile; chopper - poppy; trunk - scientist; smut - manor,smut - manor,chopper - poppy,18823
197474,20,baker - pretzel; tulip - grass; knife - sword; couch - bathtub,knife - sword,baker - pretzel,14407
197474,21,bongo - cpa; creature - grey; lapwing - telly; harmonium - pitta,creature - grey,lapwing - telly,19170
197474,22,finery - dace; fence - friend; gully - ditch; beach - coast,beach - coast,fence - friend,9315
197474,23,compass - stopwatch; walnut - pear; pencil - hammer; oak - ocean,compass - stopwatch,oak - ocean,11595
197474,24,piste - comedian; booth - telephone; carrot - fruit; button - push,carrot - fruit,piste - comedian,15677
197474,25,lever - hay; nail - wolf; street - road; proscenium - striker,street - road,nail - wolf,13135
197474,26,ice - snow; plush - carpet; hippodrome - coriander; blue - orange,plush - carpet,hippodrome - coriander,12994
197474,27,patchwork - humpback; copt - artemisia; morello - trunk; humpback - mantel,copt - artemisia,humpback - mantel,18818
197474,28,female - male; cleaner - maid; picnic - lunch; blouse - hair,cleaner - maid,blouse - hair,11177
197474,29,point - spoon; copper - silver; dustpan - door; ram - sheep,copper - silver,dustpan - door,11867
197474,30,orange - shop; snowdrop - barge; chinchilla - striker; bilberry - agora,bilberry - agora,snowdrop - barge,15260
197474,31,pan - pot; loudspeaker - cove; arm - television; complex - building,pan - pot,complex - building,15445
197474,32,scotch - whale; fig - weight; iron - plain; turnip - bitch,iron - plain,turnip - bitch,32839
197474,33,pig - hog; court - spread; reverend - sandgrouse; felt - hand,pig - hog,reverend - sandgrouse,6953
197474,34,latch - key; cricket - bug; hair - shore; iva - train,latch - key,hair - shore,9205
197474,35,stapler - staple; hound - city; wheel - wagon; hedge - clipper,wheel - wagon,hound - city,18863
197474,36,sumac - cattle; canine - husky; notebook - folder; vegetable - food,canine - husky,sumac - cattle,8191
197474,37,brim - farmstead; beef - salad; ben - novelty; sweater - jacket,sweater - jacket,brim - farmstead,16042
197474,38,bill - arroyo; feline - kitten; squash - reef; bun - headland,feline - kitten,squash - reef,10376
197474,39,radish - vegetable; down - nut; arthritic - byway; calculator - surgeon,radish - vegetable,calculator - surgeon,7282
197474,40,gauntlet - satin; lever - pull; male - man; luger - coral,male - man,gauntlet - satin,10281
197474,41,boat - fishing; crease - fold; dreadnought - offset; cape - ambulance,crease - fold,cape - ambulance,19720
197474,42,ring - pizza; tiger - leopard; butterfly - blood; bear - toddler,tiger - leopard,ring - pizza,10560
197474,43,bread - salad; uniform - shop; car - auto; bucket - insect,car - auto,uniform - shop,11039
197474,44,blackthorn - chimpanzee; footman - tester; hat - jean; vessel - fudge,footman - tester,vessel - fudge,9491
197474,45,gendarme - comet; oyster - clam; gravel - chair; game - hockey,oyster - clam,gendarme - comet,13922
197474,46,pants - blanket; airplane - storch; wife - mother; sandwich - dale,wife - mother,sandwich - dale,10084
197474,47,cinnamon - toast; marmot - grand; pumpkin - road; dog - husky,dog - husky,pumpkin - road,7753
197474,48,aircraft - pilot; cream - milk; bath - flag; coyote - megalith,cream - milk,aircraft - pilot,10040
197474,49,chantry - dishwasher; fight - lace; guy - sport; bedroom - floor,chantry - dishwasher,fight - lace,14340
197474,50,lamp - light; port - sweet; shoe - lace; mcintosh - dormer,lamp - light,mcintosh - dormer,7758
197474,51,gun - axe; willow - rainbow; submarine - football; nail - screw,nail - screw,submarine - football,8996
197474,52,bug - spider; shade - violet; electrician - wire; carpenter - hammer,bug - spider,shade - violet,13809
197474,53,paint - sculpture; cork - board; hummingbird - insect; support - chip,hummingbird - insect,paint - sculpture,18832
197474,54,pear - peach; extrovert - defence; blackburn - homestead; successor - liberian,pear - peach,extrovert - defence,10607
197474,55,fountain - marble; family - male; gate - hotel; garage - mammal,family - male,fountain - marble,21027
325804,1,market - sushi; cereal - breakfast; fuchsia - outfall; radiograph - float,cereal - breakfast,radiograph - float,11763
