Recommended Column Name,Description
age,Participant age in years
participant_id,Anonymized participant ID (numeric)
response1,First association response (lowercased)
response10,Tenth association response (lowercased)
response2,Second association response (lowercased)
response3,Third association response (lowercased)
response4,Fourth association response (lowercased)
response5,Fifth association response (lowercased)
response6,Sixth association response (lowercased)
response7,Seventh association response (lowercased)
response8,Eighth association response (lowercased)
response9,Ninth association response (lowercased)
stimulus,Cue word (lowercased)
trial_id,0-based index of cue within participant
