participant_id,age,trial_order,stimulus,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10
101163,32.0,0,checking,thorough,spelling,mistake,balance,account,quality,assurance,knowing,researching,ticking
101163,32.0,1,under,bridge,bed,tunnel,ground,bunker,underneath,underside,underbelly,underworld,hiding
101163,32.0,2,meter,distance,mile,gas,electric,ruler,utilities,stride,kilometer,pace,run
101163,32.0,3,safari,jungle,animals,lion,zebra,elephant,africa,jeep,savanna,heat,photography
101163,32.0,4,soak,drench,wet,rain,washing,fabric,dripping,conditioner,stain,puddle,storm
101163,32.0,5,sometimes,maybe,occasionally,often,never,once,unsure,somewhere,conversation,something,weekly
101163,32.0,6,atmosphere,pressure,vibe,feel,air,space,earth,gas,oxygen,breathing,venue
101163,32.0,7,pale,ill,blue,green,colour,ghost,sheet,white,bucket,water,shocked
101163,32.0,8,toil,turmoil,trouble,witches,spell,rhyme,boil,cauldron,upset,anguish,indecision
101163,32.0,9,twice,once,thrice,duo,times,several,couple,biweekly,bimonthly,two,bicycle
101163,32.0,10,perish,die,death,starve,famine,fade,wilt,wither,drown,killed,waste
101163,32.0,11,mussel,fish,seafood,sea,shell,shellfish,water,salt,broth,cream,wine
101163,32.0,12,inflation,money,cost,rise,shrink,unaffordable,expansion,expand,inflate,balloon,economy
101163,32.0,13,boiled,bubbled,boil,kettle,water,saucepan,heat,simmered,simmer,cook,poach
101163,32.0,14,oath,promise,swear,church,allegiance,code,moral,truth,court,religion,secret
10343,18.0,0,adult,mature,growth,old,maturity,career,responsibility,experience,decision-making,finances,relationships
10343,18.0,1,vulnerable,fragile,exposed,sensitive,weak,unprotected,insecure,open,helpless,emotional,defenseless
10343,18.0,2,response,reaction,answer,feedback,emotion,communication,reflex,decision,acknowledgment,interaction,responsibility
10343,18.0,3,sex,intimacy,attraction,pleasure,reproduction,consent,relationship,desire,connection,identity,communication
10343,18.0,4,smog,pollution,nan,health,toxic,visibility,respiratory,environment,fog,chemicals,urban
10343,18.0,5,web,internet,network,connectivity,links,sites,browser,information,communication,nan,digital
10343,18.0,6,mushroom,food,forest,edible,fungi,spores,truffle,nan,poisonous,nature,mycology
10343,18.0,7,organ,heart,brain,liver,lungs,kidney,function,system,transplant,tissue,circulation
10343,18.0,8,reflection,mirror,thought,introspection,self-awareness,image,light,perception,contemplation,perspective,insight
10343,18.0,9,peace,calm,harmony,serenity,tranquility,unity,silence,freedom,reconciliation,acceptance,balance
10343,18.0,10,truth,honesty,reality,integrity,fact,clarity,transparency,authenticity,knowledge,belief,trust
10343,18.0,11,chapel,prayer,worship,sanctuary,peace,faith,religion,altar,ceremony,reflection,quiet
10343,18.0,12,wall,barrier,protection,division,structure,defense,obstacle,support,boundaries,isolation,solid
10343,18.0,13,suede,soft,leather,texture,luxury,fabric,smooth,fashion,warmth,shoes,durable
10343,18.0,14,live,life,breathe,experience,present,growth,love,joy,purpose,change,consciousness
110864,59.0,0,unit,centimetre,box,grey,small,measure,lines,borders,square,fan,black
110864,59.0,1,loyal,strong,dependable,useful,good,fighter,big,reliable,fist,arms,hands
110864,59.0,2,menthol,cigarette,nose,nasty,sting,mucus,suck,sweet,airway,sneeze,cough
110864,59.0,3,anchor,ship,stop,butter,pub,iron,rust,sea,rock,seabed,fish
110864,59.0,4,pole,wood,white,flag,windy,flexible,long,arms,hands,slide,poke
110864,59.0,5,transportation,car,train,ship,plane,road,rail,move,busy,activity,good
110864,59.0,6,zone,lines,colours,park,industry,commerce,residential,paint,organization,plan,government
110864,59.0,7,still,quiet,cold,white,dead,stiff,pleasant,inactive,broken,sleep,tired
110864,59.0,8,bless,church,vicar,water,font,pray,sneeze,good,nod,hands,chant
110864,59.0,9,permission,paper,freedom,power,pass,gate,door,open,move,favour,law
110864,59.0,10,score,goal,win,game,lines,twenty,kick,boot,catch,run,succeed
110864,59.0,11,intake,breath,gulp,aperture,metal,air,aircraft,gather,hands,hold,grab
110864,59.0,12,mold,black,bad,icky,bread,wall,spots,damp,germs,green,poison
110864,59.0,13,piston,engine,spark,metal,machine,motion,fast,work,lift,speed,steam
110864,59.0,14,boss,man,suit,desk,orders,tall,grey,big,factory,office,telephone
112571,45.0,0,back,front,side,yard,hand,break,move,spine,chiropractor,gone,return
112571,45.0,1,opening,door,window,cut,tear,flap,lid,closing,concert,night,zipper
112571,45.0,2,oatmeal,oats,corn,milk,toaster,jam,syrup,scotland,nan,windmill,breakfast
112571,45.0,3,year,time,days,birthday,months,seasons,orbit,cycle,stars,date,party
112571,45.0,4,loose,tight,tension,big,size,lid,squeeze,out,fall,shorts,hole
112571,45.0,5,sunrise,sunset,morning,wake,bright,light,sun,clouds,horizon,alarm,cockerel
112571,45.0,6,peaceful,quiet,remote,sky,river,silence,chirp,storm,tea,drive,talk
112571,45.0,7,nasty,bad,distasteful,odious,sludge,slime,moist,damp,villain,kill,red
112571,45.0,8,joke,laugh,microphone,group,share,side,stage,light,comedy,cracker,dad
