participant_id,age,trial_order,stimulus,response
1,41.0,1,epic,awesome
1,41.0,2,minimum,smallest
1,41.0,3,email,internet-letter
1,41.0,4,application,submission
1,41.0,5,strength,power
1,41.0,6,snack,taster
1,41.0,7,vacation,holiday
1,41.0,8,closure,ending
1,41.0,9,programming,inputting
1,41.0,10,insert,add
1,41.0,11,extreme,major
1,41.0,12,gold,yellow
1,41.0,13,creation,beginning
1,41.0,14,leap,jump
1,41.0,15,commission,undertake
1,41.0,16,outlook,viewpoint
1,41.0,17,philosophy,belief
1,41.0,18,land,earth
1,41.0,19,seizure,fit
1,41.0,20,concentration,collection
1,41.0,21,intent,meaning
1,41.0,22,gram,measurement
1,41.0,23,language,tongue
1,41.0,24,tomb,crypt
1,41.0,25,smoke,fumes
1,41.0,26,quote,repeat
1,41.0,27,encounter,meet
1,41.0,28,appreciation,respect
1,41.0,29,river,stream
1,41.0,30,category,bracket
1,41.0,31,scout,look
1,41.0,32,pattern,decoration
1,41.0,33,reaction,reply
1,41.0,34,id,ego
1,41.0,35,management,supervisors
1,41.0,36,obsession,fascination
1,41.0,37,photographer,snapper
1,41.0,38,plot,scheme
1,41.0,39,discipline,teaching
1,41.0,40,debt,owing
1,41.0,41,audience,listeners
1,41.0,42,program,scheme
1,41.0,43,type,sort
1,41.0,44,skill,attribute
1,41.0,45,smell,odour
1,41.0,46,article,reading
1,41.0,47,principle,value
1,41.0,48,rally,race
2,41.0,1,arrangement,plan
2,41.0,2,detail,minutiae
2,41.0,3,travel,journey
2,41.0,4,coal,sootylumps
2,41.0,5,length,longness
2,41.0,6,purity,cleanliness
2,41.0,7,purpose,usefulness
2,41.0,8,code,key
2,41.0,9,trip,travels
2,41.0,10,gravity,weight
2,41.0,11,branch,limb
2,41.0,12,trade,exchange
2,41.0,13,jungle,tropicforest
2,41.0,14,military,forces
2,41.0,15,mistake,error
2,41.0,16,burst,pop
2,41.0,17,loyalty,devotion
2,41.0,18,graduation,qualified
2,41.0,19,dragon,firebreather
2,41.0,20,opposition,enemy
2,41.0,21,conversation,verbalswap
2,41.0,22,enthusiasm,keenness
2,41.0,23,log,treefuel
2,41.0,24,warrior,fighter
2,41.0,25,south,downwards
2,41.0,26,communication,infoexchange
2,41.0,27,syndrome,symptoms
2,41.0,28,symbol,logosignifier
2,41.0,29,injury,ouchie
2,41.0,30,analyst,patternfinder
2,41.0,31,parliament,governmenthouse
2,41.0,32,gaming,playing
2,41.0,33,price,cost
2,41.0,34,album,mediacompilation
2,41.0,35,seminar,edumeeting
2,41.0,36,territory,ruledarea
