Recommended Column Name,Description,experiment
ac,Attentional control composite score (PCA of ospan / saccade / stroop),both
accuracy,"Response accuracy (1.0 = correct, 0.0 = incorrect)",both
age,Participant age in years,both
education,Years of education,both
gender,Participant gender (male/female),both
lexicality,Whether the target is a real word ('word') or a pronounceable nonword ('nonword'). Half of word targets were replaced by nonwords per participant.,exp1
meq,Morningness-Eveningness Questionnaire (MEQ) score (16–86; higher = more morning-type),both
ospan,Operation span score: sum of letters recalled in correct order (0–75),both
participant_id,Anonymized participant ID,both
passage,Woodcock-Johnson III passage comprehension score,both
prime,Prime word presented before the target (lowercase),both
prime_type,Type of prime: first_associate (most common association in Nelson et al. 1999 norms) or other_associate (2nd-Nth most common association to a different cue word),both
relatedness,Semantic relatedness of the prime-target pair: related or unrelated (unrelated pairs formed by random re-pairing within the same prime-type set),both
response,"Participant response: 'word' or 'nonword' for LDT (exp1, inferred from target.ACC and lexicality); 'correct', 'unsure', 'mispronunciation', or 'extraneous' for speeded naming (exp2)",both
rt,"Response time in milliseconds. For naming (exp2), set to NaN if a microphone error was detected.",both
saccade,Antisaccade task accuracy (proportion correct),both
school,University at which the participant was tested (msu/washu/suny/omaha),both
session,Session number (1 or 2),both
soa,"Stimulus onset asynchrony in ms: 200 (short, associated with automatic priming) or 1200 (long, associated with intentional priming)",both
stimulus,Target word or nonword presented to the participant,both
stroop,Stroop interference RT: mean RT in incongruent minus congruent condition (ms),both
stroop_err,Stroop interference error rate: error rate in incongruent minus congruent condition,both
trial_order,"Position of the trial within the participant, in presentation order.",both
vision,"Self-reported vision quality (1=excellent 20/20 or better, 7=poor 20/50)",both
vocaba,Woodcock-Johnson III synonym test score,both
vocabb,Woodcock-Johnson III antonym test score,both
vocabc,Woodcock-Johnson III analogy test score,both
