Recommended Column Name,Description,type
comp_answer,Correct answer to the comprehension probe (y = yes / t = tidak/no); NA if no probe for this trial.,string
comp_question,Yes/no comprehension probe presented after the trial as a full sentence; NA if no probe followed this trial.,string
condition,Experimental condition: Active | AB_Passive | PB_Passive | Filler,string
eprime_onset_ms,Word onset time in milliseconds as recorded by E-Prime,float
is_erp_target,"Whether this word is an ERP critical region of interest (1 = yes; 0 = no). Targets: VERB (position 3), ADV (position 4), NP2_w2 (position 6)",integer
language,Language of the stimuli (Indonesian),string
list,Counterbalancing list assignment (1 = E01–E22; 2 = E23–E45),integer
N400_mean_uV,Mean N400 amplitude in microvolts (300–500 ms post-stimulus; centroparietal electrode cluster). NA for non-target words.,float
N400_peak_lat_ms,Latency of peak N400 amplitude in milliseconds relative to word onset. NA for non-target words.,float
N400_peak_uV,Peak N400 amplitude in microvolts within the 300–500 ms window. NA for non-target words.,float
original_code,Original condition/item code from the E-Prime script,string
P600_mean_uV,Mean P600 amplitude in microvolts (500–800 ms post-stimulus; centroparietal electrode cluster). NA for non-target words.,float
P600_peak_lat_ms,Latency of peak P600 amplitude in milliseconds relative to word onset. NA for non-target words.,float
P600_peak_uV,Peak P600 amplitude in microvolts within the 500–800 ms window. NA for non-target words.,float
paradigm,Experimental paradigm (ERP),string
participant_id,Participant code (E01–E45),string
peak_uV,Absolute peak amplitude in microvolts across the full ERP analysis window. NA for non-target words.,float
position_num,Sequential word position number within trial (1-indexed for experimental words; 0 for filler probe rows),integer
sentence_id,Unique sentence identifier shared across participants and lists (1–159 for experimental; NA for fillers),integer
sentence_text,Reconstructed full experimental sentence text; empty for filler trials,string
study,Study identifier in authorYEAR_shortname format,string
token_id,Row identifier from original E-Prime output file,integer
trial,Trial number within participant session (1–200),integer
word,Stimulus word presented at this position,string
word_length,Number of characters in the stimulus word,integer
word_position,Named syntactic position of the word: NP1_w1 | NP1_w2 | VERB | ADV | NP2_w1 | NP2_w2 | PP_w1 | PP_w2 | PP_w3 | w0–w9 (filler words),string
