participant_id,item_id,trial_order,phase_id,stimulus,condition,response,accuracy,rt
1,19302,24701,50,schoden,nonword,nonword,1,756
1,24496,24702,50,verboor,nonword,nonword,1,603
1,20676,24703,50,snerven,nonword,nonword,1,553
1,2004,24825,50,prokje,nonword,nonword,1,447
1,17636,24705,50,penk,nonword,nonword,1,524
1,7280,24706,50,gestard,nonword,nonword,1,700
1,4220,24707,50,moeen,nonword,nonword,1,502
1,17682,25072,50,quank,nonword,nonword,1,472
1,7812,24709,50,noetig,nonword,nonword,1,730
1,23284,24952,50,teelbank,nonword,word,0,NA
1,11516,24751,50,koeddier,nonword,nonword,1,464
1,2548,24833,50,boezier,nonword,nonword,1,485
1,20570,24713,50,zwee,nonword,nonword,1,694
1,4092,24714,50,rua's,nonword,nonword,1,465
1,5496,24836,50,erleer,nonword,nonword,1,491
1,18966,25080,50,carans,nonword,nonword,1,638
1,1936,24717,50,blooi,nonword,nonword,1,607
1,23688,24718,50,bratten,nonword,nonword,1,573
1,7814,24719,50,googje,nonword,nonword,1,620
1,6474,24720,50,gazat,nonword,nonword,1,474
1,25688,24721,50,meertuin,nonword,nonword,1,523
1,7736,25086,50,flowe,nonword,nonword,1,515
1,13398,24844,50,nopaal,nonword,nonword,1,432
1,10644,25006,50,kegslom,nonword,nonword,1,753
1,17056,25089,50,vozing,nonword,nonword,1,514
1,5806,25090,50,fonheid,nonword,nonword,1,515
1,3972,25091,50,zen,nonword,nonword,1,485
1,14692,24728,50,mondoor,nonword,nonword,1,539
1,15218,25093,50,niert,nonword,nonword,1,568
1,17726,24730,50,roofwerk,nonword,word,0,NA
1,26982,24973,50,kilken,nonword,nonword,1,490
1,25430,24974,50,muitje,nonword,word,0,NA
1,8102,24975,50,krienel,nonword,nonword,1,435
1,11966,24855,50,kleeg,nonword,nonword,1,516
1,7054,24856,50,gegijns,nonword,nonword,1,501
1,22310,24736,50,strohaak,nonword,word,0,NA
1,7090,24737,50,gesmaafd,nonword,nonword,1,505
1,21216,24738,50,spleken,nonword,nonword,1,523
1,20062,24860,50,sfeeltjes,nonword,nonword,1,480
1,12646,24780,50,bonge,nonword,nonword,1,365
1,1978,24983,50,blaamschap,nonword,nonword,1,596
