Recommended Column Name,Description
age,Age of the participant at the time of the experiment.
childhood_location,The participant's self-reported state/province in which they lived the most between birth and 7 years of age. Free-text responses. This location information has not been preprocessed.
country_of_birth,Participant's country of birth.
country_of_residence,Participant's current country of residence.
current_location,The participant's self-reported state/province in which they currently live. Free-text responses. This location information has not been preprocessed.
education,Highest completed education level of the participant.
first_language,Participant's native or first-acquired language.
gender,Self-reported or observed gender identity of the participant.
participant_id,Unique identifier assigned to each participant.
response,Participant's response
rt,"Time taken by the participant to respond, in milliseconds."
rt_measure,What rt measures in this dataset: keypress (stimulus-locked key or button press latency).
session_no,Sequential index indicating the session number for each participant. Each session consists of a fixed block of 90 trials.
stimulus,The linguistic or visual stimulus presented to the participant in a given trial.
trial_order,"Position of the trial within the participant, in presentation order."
