participant_id,session_no,trial_order,rt,stimulus,response,gender,childhood_location,current_location,first_language,education,age,country_of_birth,country_of_residence,rt_measure
1,0,0,1712.0,sneaky,2,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,1,1747.0,sting,2,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,2,3016.0,stupendous,5,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,3,2983.0,powwow,5,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,4,1504.0,proclaim,5,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,5,2266.0,wretched,1,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,6,1267.0,oppressed,1,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,7,1684.0,congratulations,8,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,8,2206.0,diver,5,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,9,3225.0,booger,,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,10,2385.0,ratchet,4,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,11,1553.0,shoot,1,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,12,1434.0,tearful,1,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,13,1586.0,refreshing,7,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,14,1767.0,blabbermouth,2,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,15,2838.0,presume,5,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,16,2135.0,lacrosse,5,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,17,2204.0,persistence,6,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,18,3420.0,personnel,5,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,19,1169.0,lettuce,5,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,20,1421.0,saucer,5,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,21,1125.0,imaging,5,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,22,1483.0,lifeboat,6,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,23,1134.0,extravagance,5,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,24,2279.0,initiation,4,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,25,1601.0,roomy,6,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,26,1543.0,millionth,5,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,27,1496.0,appliance,5,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,28,1246.0,muskrat,5,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,29,2065.0,legitimacy,5,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,30,1120.0,discretionary,5,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
1,0,31,1100.0,railing,5,female,kent,kent,english,high_school_graduate,68,uk,uk,keypress
