Recommended Column Name,Description,file
age,Participant age in years (source: Age in original data),exp1.csv / exp2.csv
Auditory,Rating of how strongly the word is experienced by hearing (0 = not at all; 5 = greatly; NA = no response recorded),exp1.csv
Foot_leg,Rating of how strongly the word is experienced by performing an action with the foot or leg (0 = not at all; 5 = greatly; NA = no response recorded),exp2.csv
gender,Participant self-reported gender (source: Sex in original data),exp1.csv / exp2.csv
Gustatory,Rating of how strongly the word is experienced by tasting (0 = not at all; 5 = greatly; NA = no response recorded),exp1.csv
Hand_arm,Rating of how strongly the word is experienced by performing an action with the hand or arm (0 = not at all; 5 = greatly; NA = no response recorded),exp2.csv
Haptic,Rating of how strongly the word is experienced by feeling through touch (0 = not at all; 5 = greatly; NA = no response recorded),exp1.csv
Head,Rating of how strongly the word is experienced by performing an action with the head excluding mouth (0 = not at all; 5 = greatly; NA = no response recorded),exp2.csv
Interoceptive,Rating of how strongly the word is experienced by sensations inside the body (0 = not at all; 5 = greatly; NA = no response recorded),exp1.csv
Mouth,Rating of how strongly the word is experienced by performing an action with the mouth or throat (0 = not at all; 5 = greatly; NA = no response recorded),exp2.csv
Olfactory,Rating of how strongly the word is experienced by smelling (0 = not at all; 5 = greatly; NA = no response recorded),exp1.csv
participant_id,Globally unique participant identifier (source: participant_ID in original data; e.g. Perception_ID_0001),exp1.csv / exp2.csv
stimulus,The English word being rated (source: Word in original data),exp1.csv / exp2.csv
Torso,Rating of how strongly the word is experienced by performing an action with the torso (0 = not at all; 5 = greatly; NA = no response recorded),exp2.csv
trial_order,"Position of the trial within the participant, in presentation order.",exp1.csv / exp2.csv
unknown_word,Whether the participant indicated not knowing the meaning of the word (0 = knows the word; 1 = does not know the word; source: Dont_know_word in original data),exp1.csv / exp2.csv
Visual,Rating of how strongly the word is experienced by seeing (0 = not at all; 5 = greatly; NA = no response recorded),exp1.csv
