participant_id,phase_id,trial_order,list,stimulus,condition,catch,response,accuracy,rt,age,rt_measure
0AiLv,1,76,11,coyly,CW,test,non-word,0,627,39,keypress
0AiLv,2,196,11,abhorrent,CW,test,word,1,803,39,keypress
0AiLv,3,234,15,nosty,SPW,test,non-word,1,704,39,keypress
0AiLv,3,242,15,aanffhn,NW,test,non-word,1,505,39,keypress
0AiLv,4,314,10,oimtgko,NW,test,non-word,1,499,39,keypress
0AiLv,2,193,10,renter,CW,test,word,1,740,39,keypress
0AiLv,2,200,10,implacable,SW,test,non-word,0,1404,39,keypress
0AiLv,4,315,10,solemnly,CW,test,word,1,764,39,keypress
0AiLv,4,364,15,witless,CW,test,word,1,637,39,keypress
0AiLv,3,202,10,ydtyau,NW,test,non-word,1,492,39,keypress
0AiLv,3,241,15,hasten,CW,test,word,1,1010,39,keypress
0AiLv,3,201,10,pressify,CPW,test,non-word,1,724,39,keypress
0AiLv,4,396,10,error,CW,test,word,1,667,39,keypress
0AiLv,4,394,10,mirror,SW,test,word,1,665,39,keypress
0AiLv,2,151,10,ringist,CPW,test,non-word,1,656,39,keypress
0AiLv,4,395,10,innuendo,SW,test,word,1,732,39,keypress
0AiLv,2,198,10,mrhnl,NW,test,non-word,1,484,39,keypress
0AiLv,3,238,15,clappist,CPW,test,non-word,1,663,39,keypress
0AiLv,2,194,11,sewd,SPW,test,non-word,1,806,39,keypress
0AiLv,4,363,15,stripy,CW,test,word,1,1001,39,keypress
0AiLv,3,272,11,stupidity,CW,test,word,1,589,39,keypress
0AiLv,3,243,15,rlgwhh,NW,test,non-word,1,454,39,keypress
0AiLv,4,396,11,walker,CW,test,word,1,615,39,keypress
0AiLv,4,391,10,strevved,SPW,test,non-word,1,622,39,keypress
0AiLv,3,235,15,cinnamon,SW,test,word,1,707,39,keypress
0AiLv,2,197,10,ssrhmhuu,NW,test,non-word,1,524,39,keypress
0AiLv,2,196,10,carbide,SW,test,word,1,756,39,keypress
0AiLv,1,67,15,ihhf,NW,test,non-word,1,483,39,keypress
0AiLv,4,316,10,fuzless,CPW,test,non-word,1,608,39,keypress
