Recommended Column Name,Description
accuracy,Binary indicator of whether response matched response_correct; available in Experiment 3 only.
age,Participant age in years.
emotion,"Discrete emotion category associated with the source word: anger, disgust, fear, happiness, or sadness."
experiment,Globally unique identifier for the experiment.
gender,"Normalized participant gender: female, male, or unspecified."
participant_id,Experiment-prefixed sequential participant identifier; source filenames and timestamps are not exported.
phase_id,"Task phase: production, word_decoding, or emotion_decoding."
response,"Participant response: a generated novel word in Experiment 1, a guessed Spanish word in Experiment 2, or a selected emotion label in Experiment 3."
response_correct,Correct emotion category; available in Experiment 3 only.
rt,Response time in milliseconds; derived from source timing fields as documented in README.md.
stimulus,Participant-visible stimulus: an existing Spanish word in Experiment 1 and a novel Spanish letter string in Experiments 2 and 3.
target_word,Original Spanish source word from which the novel string was derived; available in Experiments 2 and 3 and not displayed to participants.
trial_id,Unique identifier for a trial within an experiment and participant session.
trial_order,Presentation order within the retained participant session (0-indexed).
