experiment,participant_id,trial_label,trial_order,phase_id,stimulus,response,emotion,rt,age,gender,rt_measure
martineztomas2026_discrete_emotionality_exp1,exp1_1,exp1_t0,0,production,cadáver,esdeje,sadness,10480,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_1,exp1_t1,1,production,carnaval,quisnova,happiness,8946,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_1,exp1_t2,2,production,pistola,taramo,fear,9178,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_1,exp1_t3,3,production,visión,nirer,happiness,18143,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_1,exp1_t4,4,production,tabaco,petuc,disgust,12662,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_1,exp1_t5,5,production,lejanía,suvete,sadness,14960,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_1,exp1_t6,6,production,ruina,pofle,sadness,20578,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_1,exp1_t7,7,production,piojos,oufele,disgust,7812,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_1,exp1_t8,8,production,lotería,kilada,happiness,16897,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_1,exp1_t9,9,production,añoranza,luababa,sadness,5028,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_1,exp1_t10,10,production,mendigo,tejilo,sadness,13813,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_1,exp1_t11,11,production,basura,gurona,disgust,9427,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_1,exp1_t12,12,production,veneno,labuira,fear,9011,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_2,exp1_t0,0,production,intruso,descorpe,fear,11997.6,19,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_2,exp1_t1,1,production,basura,cestras,disgust,7397.2,19,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_2,exp1_t2,2,production,censura,desabete,disgust,65511.1,19,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_2,exp1_t3,3,production,ruina,coenca,sadness,5667,19,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_2,exp1_t4,4,production,enemigo,falsoplo,anger,36674.9,19,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_2,exp1_t5,5,production,añoranza,nostalco,sadness,6466.6,19,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_2,exp1_t6,6,production,rabia,persenfra,anger,29945,19,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_2,exp1_t7,7,production,lejanía,impocerca,sadness,14033.3,19,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_2,exp1_t8,8,production,eufórico,juyubile,happiness,14598,19,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_2,exp1_t9,9,production,visión,persojo,happiness,15450.9,19,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_2,exp1_t10,10,production,cadáver,esterroplo,sadness,24812.5,19,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_2,exp1_t11,11,production,rumor,chimolote,anger,9075.9,19,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_2,exp1_t12,12,production,mendigo,perpebro,sadness,7435,19,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_2,exp1_t13,13,production,novio,wititillo,happiness,4809.3,19,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_2,exp1_t14,14,production,hedor,narimaltrad,disgust,14368.2,19,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_2,exp1_t15,15,production,espada,limaflo,fear,22839.7,19,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_2,exp1_t16,16,production,tabaco,pulmugro,disgust,23947.9,19,female,keypress
