experiment,participant_id,trial_label,trial_order,phase_id,stimulus,target_word,response,emotion,rt,age,gender,rt_measure
martineztomas2026_discrete_emotionality_exp2,exp2_1,exp2_t0,0,word_decoding,landado,enfadado,plantado,anger,16217.3,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_1,exp2_t1,1,word_decoding,palabrostio,insulto,palabrota,anger,6926,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_1,exp2_t2,2,word_decoding,frórico,eufórico,eufórico,happiness,7626.5,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_1,exp2_t3,3,word_decoding,eniecido,enemigo,incendio,anger,8892.4,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_1,exp2_t4,4,word_decoding,queranza,añoranza,esperanza,sadness,13705.1,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_1,exp2_t5,5,word_decoding,desabete,censura,debate,disgust,36366.2,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_1,exp2_t6,6,word_decoding,distantación,lejanía,distanciación,sadness,29603.8,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_1,exp2_t7,7,word_decoding,descín,ruina,festín,sadness,11738.2,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_1,exp2_t8,8,word_decoding,dastro,intruso,rastro,fear,4643.6,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_1,exp2_t9,9,word_decoding,puntiaguja,espada,puntiaguda,fear,6358.9,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_1,exp2_t10,10,word_decoding,plareja,novio,pareja,happiness,5875.4,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_1,exp2_t11,11,word_decoding,flastación,visión,saltación,happiness,22430,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_1,exp2_t12,12,word_decoding,furieta,rabia,furioso,anger,4711.2,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_1,exp2_t13,13,word_decoding,dinería,lotería,sidrería,happiness,8191.2,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_1,exp2_t14,14,word_decoding,bendigolo,mendigo,mendigo,sadness,8722.2,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_1,exp2_t15,15,word_decoding,valacer,cadáver,validez,sadness,25174.9,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_1,exp2_t16,16,word_decoding,argola,pistola,gárgola,fear,38598.9,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_1,exp2_t17,17,word_decoding,residuera,basura,residuo,disgust,9624.7,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_1,exp2_t18,18,word_decoding,bailetín,carnaval,bailarín,happiness,8724.2,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_1,exp2_t19,19,word_decoding,chismolo,rumor,chismoso,anger,4329.1,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_1,exp2_t20,20,word_decoding,fierdo,hedor,cuerdo,disgust,9290,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_1,exp2_t21,21,word_decoding,fiminos,piojos,pingüinos,disgust,16716.1,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t0,0,word_decoding,desabete,censura,deshabitado,disgust,25267.3,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t1,1,word_decoding,puntiaguja,espada,puntiaguda,fear,9466.9,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t2,2,word_decoding,chismolo,rumor,chismoso,anger,8333.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t3,3,word_decoding,fierdo,hedor,fierro,disgust,5016.9,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t4,4,word_decoding,argola,pistola,argolla,fear,20517.3,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t5,5,word_decoding,descín,ruina,decir,sadness,21233.1,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t6,6,word_decoding,frórico,eufórico,cólico,happiness,28550.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t7,7,word_decoding,distantación,lejanía,distracción,sadness,11567.2,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t8,8,word_decoding,enjauladero,prisión,jaula,fear,16483.8,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t9,9,word_decoding,furieta,rabia,furia,anger,16467.2,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t10,10,word_decoding,palabrostio,insulto,palabrota,anger,4917.2,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t11,11,word_decoding,fiminos,piojos,finos,disgust,19712.8,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t12,12,word_decoding,bailetín,carnaval,maletín,happiness,8981.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t13,13,word_decoding,dastro,intruso,rastro,fear,4750.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t14,14,word_decoding,dinería,lotería,dinero,happiness,9483.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t15,15,word_decoding,plareja,novio,pareja,happiness,5982.4,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t16,16,word_decoding,landado,enfadado,lanzado,anger,8417.3,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t17,17,word_decoding,flastación,visión,plantación,happiness,9172.8,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t18,18,word_decoding,queranza,añoranza,crianza,sadness,6133.8,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t19,19,word_decoding,clespiente,veneno,serpiente,fear,8782.9,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t20,20,word_decoding,residuera,basura,residencia,disgust,5250.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t21,21,word_decoding,bendigolo,mendigo,mendigo,sadness,20150.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t22,22,word_decoding,eniecido,enemigo,encendido,anger,16550.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t0,0,word_decoding,bailetín,carnaval,bailador,happiness,9117,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t1,1,word_decoding,clespiente,veneno,serpiente,fear,4584.5,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t2,2,word_decoding,bendigolo,mendigo,bendición,sadness,4519.8,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t3,3,word_decoding,flastación,visión,pedo,happiness,3600.2,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t4,4,word_decoding,descín,ruina,descifrar,sadness,14669.1,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t5,5,word_decoding,frórico,eufórico,luminoso,happiness,18685.3,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t6,6,word_decoding,palabrostio,insulto,palabrota,anger,4533.3,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t7,7,word_decoding,desabete,censura,diabetes,disgust,4034.3,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t8,8,word_decoding,fiminos,piojos,femina,disgust,8902.9,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t9,9,word_decoding,plareja,novio,pareja,happiness,3020.3,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t10,10,word_decoding,fumaika,tabaco,marihuana,disgust,16013.4,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t11,11,word_decoding,fierdo,hedor,miedo,disgust,14230.1,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t12,12,word_decoding,valacer,cadáver,fallecer,sadness,5766.5,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t13,13,word_decoding,eniecido,enemigo,nacido,anger,18883.5,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t14,14,word_decoding,argola,pistola,gárgola,fear,9953.8,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t15,15,word_decoding,dastro,intruso,padrastro,fear,86101.8,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t16,16,word_decoding,residuera,basura,residencia,disgust,4200,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t17,17,word_decoding,dinería,lotería,rico,happiness,5700.6,18,male,keypress
