experiment,participant_id,trial_label,trial_order,phase_id,stimulus,target_word,response,correct_response,accuracy,emotion,rt,age,gender,rt_measure
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t0,0,emotion_decoding,desabete,censura,sadness,disgust,0,disgust,3032.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t1,1,emotion_decoding,puntiaguja,espada,fear,fear,1,fear,3347.3,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t2,2,emotion_decoding,queranza,añoranza,anger,sadness,0,sadness,3730.1,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t3,3,emotion_decoding,fiminos,piojos,fear,disgust,0,disgust,2063.1,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t4,4,emotion_decoding,chismolo,rumor,happiness,anger,0,anger,1551.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t5,5,emotion_decoding,fierdo,hedor,fear,disgust,0,disgust,1501.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t6,6,emotion_decoding,dastro,intruso,disgust,fear,0,fear,3865,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t7,7,emotion_decoding,bendigolo,mendigo,happiness,sadness,0,sadness,1747.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t8,8,emotion_decoding,clespiente,veneno,fear,fear,1,fear,2880.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t9,9,emotion_decoding,landado,enfadado,anger,anger,1,anger,4781.1,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t10,10,emotion_decoding,distantación,lejanía,sadness,sadness,1,sadness,2280.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t11,11,emotion_decoding,valacer,cadáver,happiness,sadness,0,sadness,1213.3,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t12,12,emotion_decoding,flastación,visión,disgust,happiness,0,happiness,6545.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t13,13,emotion_decoding,plareja,novio,happiness,happiness,1,happiness,2814.2,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t14,14,emotion_decoding,fumaika,tabaco,disgust,disgust,1,disgust,2747.3,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t15,15,emotion_decoding,eniecido,enemigo,anger,anger,1,anger,1947.1,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t16,16,emotion_decoding,dinería,lotería,happiness,happiness,1,happiness,1380.8,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t17,17,emotion_decoding,enjauladero,prisión,sadness,fear,0,fear,6197.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t18,18,emotion_decoding,descín,ruina,anger,sadness,0,sadness,4018.3,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t19,19,emotion_decoding,argola,pistola,fear,fear,1,fear,1796.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t20,20,emotion_decoding,frórico,eufórico,happiness,happiness,1,happiness,3036.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t21,21,emotion_decoding,furieta,rabia,anger,anger,1,anger,1750.4,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t22,22,emotion_decoding,palabrostio,insulto,anger,anger,1,anger,2230.4,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_1,exp3_t23,23,emotion_decoding,bailetín,carnaval,disgust,happiness,0,happiness,2302,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_2,exp3_t0,0,emotion_decoding,valacer,cadáver,happiness,sadness,0,sadness,6618.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_2,exp3_t1,1,emotion_decoding,chismolo,rumor,disgust,anger,0,anger,10148.4,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_2,exp3_t2,2,emotion_decoding,residuera,basura,happiness,disgust,0,disgust,8736,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_2,exp3_t3,3,emotion_decoding,furieta,rabia,anger,anger,1,anger,3446.8,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_2,exp3_t4,4,emotion_decoding,dinería,lotería,happiness,happiness,1,happiness,4788.9,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_2,exp3_t5,5,emotion_decoding,dastro,intruso,anger,fear,0,fear,17740.4,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_2,exp3_t6,6,emotion_decoding,frórico,eufórico,fear,happiness,0,happiness,6985.8,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_2,exp3_t7,7,emotion_decoding,fiminos,piojos,disgust,disgust,1,disgust,13708,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_2,exp3_t8,8,emotion_decoding,flastación,visión,anger,happiness,0,happiness,4376.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_2,exp3_t9,9,emotion_decoding,fumaika,tabaco,anger,disgust,0,disgust,11141.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_2,exp3_t10,10,emotion_decoding,eniecido,enemigo,fear,anger,0,anger,9916.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_2,exp3_t11,11,emotion_decoding,distantación,lejanía,sadness,sadness,1,sadness,4753.4,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_2,exp3_t12,12,emotion_decoding,enjauladero,prisión,sadness,fear,0,fear,5134.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_2,exp3_t13,13,emotion_decoding,palabrostio,insulto,anger,anger,1,anger,3443.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp3,exp3_2,exp3_t14,14,emotion_decoding,fierdo,hedor,fear,disgust,0,disgust,10196.4,18,female,keypress
