Recommended Column Name,Description
accuracy,Binary indicator of whether the participant's response was correct.
age,Age of the participant at the time of the experiment.
condition,Experimental condition assigned to the trial (could be a word or a pseudoword).
correct_response,"Correct response (1 or 2, depending on response_mapping for that participant and current target_word)."
education_subject,Participant's self-reported educational area (available options: Art & Humanities / Natural sciences / Technical education).
first_language,Participant's native or first-acquired language.
gender,Self-reported gender identity of the participant.
list,Experimental list number ('word1' to 'word4'). Items were distributed across 4 lists.
participant_id,Unique identifier assigned to each participant.
response,Participant's response.
response_mapping,Mapping of correct responses ('press 1 for words and 2 for non-words' or the other way around).
rt,"Time taken by the participant to respond, in milliseconds."
target_word,The target stimulus presented in that trial (could be a word or a pseudoword).
trial_order,Presentation order within the session (0-indexed). The order in which the participant saw this trial.
