Recommended Column Name,Description
age,Age of the participant at the time of the experiment.
condition,Experimental condition assigned to the trial (positive label/negative label/no label).
first_language,Participant's native language.
gender,Self-reported gender identity of the participant.
image_filename,Filename or identifier for the presented image.
list,Experimental list number (0-2). Items were distributed across 3 lists.
participant_id,Unique identifier assigned to each participant.
response1,1st participant's response. Each participant produced 3 associations for a given stimulus (an image with or witout a label under it).
response2,2nd participant's response. Each participant produced 3 associations for a given stimulus (an image with or witout a label under it).
response3,3rd participant's response. Each participant produced 3 associations for a given stimulus (an image with or witout a label under it).
stimulus1_image,Which image was presented.
stimulus2_label,Which label (if any) was presented under the image.
stimulus2_present,Whether stimulus 2 (label) was present (yes/no) under the image.
trial_order,Presentation order within the session (0-23). The order in which the participant saw this trial.
