participant_id;stimulus;response;accuracy;rt;trial_order;age
28;gialloso;2;1;691;1;25
28;bianchista;2;1;1116;2;25
28;biancozione;2;1;917;3;25
28;rosamento;2;1;909;4;25
28;rosatore;2;1;902;5;25
28;verdetore;2;1;941;6;25
28;verdismo;2;1;693;7;25
28;bluezza;2;1;693;8;25
28;gialliere;2;1;1302;9;25
28;preoccupazione;1;1;686;10;25
28;maniere;2;0;1742;11;25
28;verderia;2;1;828;12;25
28;verdetore;2;1;814;13;25
28;rosezza;2;1;750;14;25
28;pericoloso;1;1;550;15;25
28;rosiere;2;1;1094;16;25
28;giallenza;2;1;1014;17;25
28;dolcezza;1;1;629;18;25
28;rivista;1;1;621;19;25
28;giallozione;2;1;678;20;25
28;rososo;2;1;1094;21;25
28;rosenza;2;1;1079;22;25
28;terrorismo;1;1;598;23;25
28;bluenza;2;1;702;24;25
28;rosenza;2;1;775;25;25
28;arancioneria;2;1;766;26;25
28;bianchista;2;1;685;27;25
28;verderia;2;1;494;28;25
28;bluoso;2;1;598;29;25
28;biancozione;2;1;614;30;25
28;verdista;2;1;486;31;25
28;arancionezza;2;1;629;32;25
28;rosabile;2;1;782;33;25
28;giallotore;2;1;479;34;25
28;batteria;1;1;1271;35;25
28;bluismo;2;1;517;36;25
28;stazione;1;1;678;37;25
28;gialloso;2;1;974;38;25
28;bellezza;1;1;893;39;25
28;arancioneria;2;1;630;40;25
28;bianchiere;2;1;815;41;25
28;arancionezione;2;1;662;42;25
28;materia;1;1;734;43;25
28;arancionista;2;1;1478;44;25
28;arancioniere;2;1;614;45;25
28;scegliere;1;1;550;46;25
28;biancabile;2;1;629;47;25
28;giallabile;2;1;615;48;25
28;arancionabile;2;1;606;49;25
28;rosiere;2;1;934;50;25
28;tempismo;1;1;743;51;25
28;bluzione;2;1;654;52;25
28;instabile;1;1;596;53;25
28;gialliere;2;1;637;54;25
28;roseria;2;1;548;55;25
28;chiacchiere;1;1;1028;56;25
28;adorabile;1;1;734;57;25
28;organismo;1;1;670;58;25
28;musicista;1;1;508;59;25
28;rosatore;2;1;606;60;25
28;intervista;1;1;628;61;25
28;schifoso;1;1;557;62;25
28;situazione;1;1;558;63;25
28;emergenza;1;1;685;64;25
28;giallismo;2;1;663;65;25
28;arancionemento;2;1;638;66;25
28;elemento;1;1;813;67;25
28;giallenza;2;1;989;68;25
28;verdezza;2;1;943;69;25
28;rosista;2;1;1078;70;25
28;romanticismo;1;1;606;71;25
28;infermiere;1;1;622;72;25
28;direttore;1;1;662;73;25
28;blutore;2;1;717;74;25
28;imperatore;1;1;669;75;25
28;verdabile;2;1;685;76;25
28;verdemento;2;1;581;77;25
28;arancionista;2;1;557;78;25
28;bianchenza;2;1;1750;79;25
28;colazione;1;1;679;80;25
28;blumento;2;1;644;81;25
28;prezioso;1;1;591;82;25
28;rosezza;2;1;638;83;25
28;umorismo;1;1;542;84;25
28;arancionenza;2;1;502;85;25
28;bluabile;2;1;838;86;25
28;altezza;1;1;606;87;25
28;bluabile;2;1;925;88;25
28;rosismo;2;1;773;89;25
28;operazione;1;1;1094;90;25
28;tradimento;1;1;501;91;25
28;bluenza;2;1;629;92;25
28;verdismo;2;1;518;93;25
28;rososo;2;1;517;94;25
28;rosismo;2;1;618;95;25
28;biancoso;2;1;1125;96;25
28;biancotore;2;1;518;97;25
28;bianchiere;2;1;487;98;25
28;pazienza;1;1;564;99;25
28;nervoso;1;1;542;100;25
28;senatore;1;1;574;101;25
28;verdoso;2;1;614;102;25
28;bluismo;2;1;526;103;25
28;rosazione;2;1;549;104;25
28;verdezione;2;1;470;105;25
28;bluista;2;1;478;106;25
28;verdista;2;1;414;107;25
28;affidabile;1;1;598;108;25
28;verdiere;2;1;541;109;25
28;riposo;1;1;478;110;25
28;cacciatore;1;1;485;111;25
28;bianchismo;2;1;534;112;25
28;verdezione;2;1;501;113;25
28;bluzione;2;1;558;114;25
28;giallomento;2;1;606;115;25
28;arancionoso;2;1;397;116;25
28;artista;1;1;493;117;25
28;probabile;1;1;525;118;25
28;biancomento;2;1;486;119;25
28;arancionetore;2;1;565;120;25
28;giallismo;2;1;614;121;25
28;giallista;2;1;909;122;25
28;verdezza;2;1;502;123;25
28;colpevolezza;1;1;661;124;25
28;verdoso;2;1;516;125;25
28;eufemismo;1;1;478;126;25
