Recommended Column Name,Description
age,Age of the participant at the time of the experiment.
first_language,Participant's native or first-acquired language.
gender,Self-reported or observed gender identity of the participant.
nationality,Participant's self-reported nationality.
occupation,"Participant's self-reported occupation, role, or student status."
participant_id,Unique identifier assigned to each participant.
response1,First association response for the trial.
response1_valence,"Participant's valence rating for response1 on the 1–5 scale, where 3 is neutral."
response2,Second association response for the trial.
response2_valence,"Participant's valence rating for response2 on the 1–5 scale, where 3 is neutral."
response3,Third association response for the trial.
response3_valence,"Participant's valence rating for response3 on the 1–5 scale, where 3 is neutral."
source_file,Original raw data filename from which this observation was derived.
stem_background,Raw participant STEM/background group code as recorded in the original data.
stimulus,The linguistic or visual stimulus presented to the participant in a given trial.
stimulus_valence,"Participant's valence rating for the stimulus on the 1–5 scale, where 3 is neutral."
trial_id,Unique identifier for a single trial within a session or condition.
trial_order,Presentation order within the session (0-indexed). The order in which the participant saw this trial.
