Recommended Column Name,Description
accuracy,"Whether the response matched the assigned condition (1 = correct, 0 = incorrect)."
age,Participant’s age in years.
block,Block number within the experiment.
block_number,"Sequential index of experimental segments, including training and main blocks."
concreteness,Ground-truth semantic category of the word (abstract or concrete).
condition,Assigned correct response location (top or bottom) based on the current instruction mapping.
device_type,"Input device used (e.g., computer mouse, trackpad)."
end_rt,Time in milliseconds from stimulus onset to movement completion.
gender,Self-reported gender of the participant.
handedness,"Self-reported handedness (e.g., right-handed, left-handed)."
instruction_mapping,Response rule active during the trial (mapping between concreteness category and response location).
item,Identifier of the stimulus item.
participant_id,Unique identifier for each participant.
phase_id,"Experimental phase (e.g., training, experiment)."
response,Actual response location where the participant moved the word (top or bottom).
response_category,"Participant’s inferred semantic judgment (abstract or concrete), reconstructed from the response and instruction mapping."
start_rt,Time in milliseconds from stimulus onset to movement initiation.
stimulus,The word presented on the screen.
stimulus_location,"Vertical position of the word in the semantic space (e.g., top, bottom)."
trial_order,"Position of the trial within the participant, in presentation order."
version,"Experimental version (1 or 2), indicating the initial response mapping rule."
