Recommended Column Name,Description
cumulative_rt,"Time from the onset of the round to this response, in milliseconds; the running total of rt within the round."
fluency_list_id,"Fluency round a response belongs to, numbered from 0 within each participant. One round is one timed attempt at one category cue."
is_category_mismatch,"Flag marking a response whose category label disagrees with the majority label of the round it is stored in, i.e. one filed under the wrong round. The label itself is left as recorded."
is_invalid,Flag marking invalid responses (missing/non-word/timed-out).
is_repeated_response,Flag marking a response already given earlier in the same round (a perseveration).
is_rt_outlier,Flag marking RT outliers removed from RT analyses.
participant_id,Unique identifier assigned to each participant.
response,Participant's response
round_time_limit,"Time allowed for one round, in milliseconds. Documented by the published task, which sets timeperlist = 180 seconds; the value is 180000 for every participant in both files."
rt,"Time taken by the participant to respond, in milliseconds."
stimulus,The linguistic or visual stimulus presented to the participant in a given trial.
trial_order,Presentation order within the session (0-indexed). The order in which the participant saw this trial.
