participant_id,fluency_list_id,trial_order,stimulus,response,rt,cumulative_rt,round_time_limit,is_invalid,is_rt_outlier,is_repeated_response,is_category_mismatch,rt_measure
C101,0,0,tools,hammer,98252,98252,180000,0,0,0,0,inter_response_interval
C101,0,1,tools,pliers,1361,99613,180000,0,0,0,0,inter_response_interval
C101,0,2,tools,wrench,2264,101877,180000,0,0,0,0,inter_response_interval
C101,0,3,tools,ratchet,1384,103261,180000,0,0,0,0,inter_response_interval
C101,0,4,tools,vice,1046,104307,180000,0,0,0,0,inter_response_interval
C101,0,5,tools,jackhammer,2865,107172,180000,0,0,0,0,inter_response_interval
C101,0,6,tools,nails,1617,108789,180000,0,0,0,0,inter_response_interval
C101,0,7,tools,ladder,1576,110365,180000,0,0,0,0,inter_response_interval
C101,0,8,tools,saw,722,111087,180000,0,0,0,0,inter_response_interval
C101,0,9,tools,sawhorse,12800,123887,180000,0,0,0,0,inter_response_interval
C101,1,0,foods,bread,6093,6093,180000,0,0,0,0,inter_response_interval
C101,1,1,foods,chicken,1185,7278,180000,0,0,0,0,inter_response_interval
C101,1,2,foods,ham,655,7933,180000,0,0,0,0,inter_response_interval
C101,1,3,foods,fish,2032,9965,180000,0,0,0,0,inter_response_interval
C101,1,4,foods,pork,4328,14293,180000,0,0,0,0,inter_response_interval
C101,1,5,foods,lettuce,4102,18395,180000,0,0,0,0,inter_response_interval
C101,1,6,foods,tomato,1244,19639,180000,0,0,0,0,inter_response_interval
C101,1,7,foods,carrots,1348,20987,180000,0,0,0,0,inter_response_interval
C101,1,8,foods,cucumber,3689,24676,180000,0,0,0,0,inter_response_interval
C101,1,9,foods,onions,2759,27435,180000,0,0,0,0,inter_response_interval
C101,1,10,foods,garlic,1329,28764,180000,0,0,0,0,inter_response_interval
C101,1,11,foods,cheese,3896,32660,180000,0,0,0,0,inter_response_interval
C101,1,12,foods,crackers,1871,34531,180000,0,0,0,0,inter_response_interval
C101,1,13,foods,rice,3256,37787,180000,0,0,0,0,inter_response_interval
C101,1,14,foods,noodles,1737,39524,180000,0,0,0,0,inter_response_interval
C101,1,15,foods,potatos,5846,45370,180000,0,0,0,0,inter_response_interval
C101,1,16,foods,watermelon,5850,51220,180000,0,0,0,0,inter_response_interval
C101,1,17,foods,apple,902,52122,180000,0,0,0,0,inter_response_interval
C101,1,18,foods,lemon,1378,53500,180000,0,0,0,0,inter_response_interval
C101,1,19,foods,lime,1208,54708,180000,0,0,0,0,inter_response_interval
C101,1,20,foods,jackfruit,8038,62746,180000,0,0,0,0,inter_response_interval
C101,1,21,foods,raspberry,4026,66772,180000,0,0,0,0,inter_response_interval
C101,1,22,foods,blueberry,1632,68404,180000,0,0,0,0,inter_response_interval
C101,1,23,foods,wheatgrass,15919,84323,180000,0,0,0,0,inter_response_interval
C101,1,24,foods,frogleg,6895,91218,180000,0,0,0,0,inter_response_interval
C101,1,25,foods,dough,5607,96825,180000,0,0,0,0,inter_response_interval
C101,1,26,foods,biscuits,1850,98675,180000,0,0,0,0,inter_response_interval
C101,1,27,foods,doughnuts,19383,118058,180000,0,0,0,0,inter_response_interval
C101,1,28,foods,pie,4487,122545,180000,0,0,0,0,inter_response_interval
C101,1,29,foods,eclair,15601,138146,180000,0,0,0,0,inter_response_interval
C101,1,30,foods,icecream,2598,140744,180000,0,0,0,0,inter_response_interval
C101,1,31,foods,pizza,4640,145384,180000,0,0,0,0,inter_response_interval
C101,1,32,foods,radish,6633,152017,180000,0,0,0,0,inter_response_interval
C101,1,33,foods,strawberry,2400,154417,180000,0,0,0,0,inter_response_interval
C101,1,34,foods,soup,8176,162593,180000,0,0,0,0,inter_response_interval
C101,1,35,foods,dumplings,5326,167919,180000,0,0,0,0,inter_response_interval
C101,1,36,foods,bacon,4969,172888,180000,0,0,0,0,inter_response_interval
C101,1,37,foods,eggs,3625,176513,180000,0,0,0,0,inter_response_interval
C101,2,0,animals,cat,3496,3496,180000,0,0,0,0,inter_response_interval
C101,2,1,animals,dog,1448,4944,180000,0,0,0,0,inter_response_interval
C101,2,2,animals,rabbit,2056,7000,180000,0,0,0,0,inter_response_interval
C101,2,3,animals,turtle,1607,8607,180000,0,0,0,0,inter_response_interval
C101,2,4,animals,bird,1832,10439,180000,0,0,0,0,inter_response_interval
C101,2,5,animals,giraffe,2425,12864,180000,0,0,0,0,inter_response_interval
C101,2,6,animals,antelope,1599,14463,180000,0,0,0,0,inter_response_interval
C101,2,7,animals,buffallo,2617,17080,180000,0,0,0,0,inter_response_interval
C101,2,8,animals,deer,1255,18335,180000,0,0,0,0,inter_response_interval
C101,2,9,animals,cow,1866,20201,180000,0,0,0,0,inter_response_interval
C101,2,10,animals,pig,3094,23295,180000,0,0,0,0,inter_response_interval
C101,2,11,animals,hamster,2727,26022,180000,0,0,0,0,inter_response_interval
C101,2,12,animals,gerbil,3920,29942,180000,0,0,0,0,inter_response_interval
C101,2,13,animals,parrot,1145,31087,180000,0,0,0,0,inter_response_interval
C101,2,14,animals,parakeet,1895,32982,180000,0,0,0,0,inter_response_interval
C101,2,15,animals,snake,2969,35951,180000,0,0,0,0,inter_response_interval
C101,2,16,animals,snail,1336,37287,180000,0,0,0,0,inter_response_interval
C101,2,17,animals,alligator,6775,44062,180000,0,0,0,0,inter_response_interval
C101,2,18,animals,crocodile,2688,46750,180000,0,0,0,0,inter_response_interval
C101,2,19,animals,guineapig,8408,55158,180000,0,0,0,0,inter_response_interval
C101,2,20,animals,rhinoceros,6224,61382,180000,0,0,0,0,inter_response_interval
C101,2,21,animals,elephant,7055,68437,180000,0,0,0,0,inter_response_interval
C101,2,22,animals,panda,7088,75525,180000,0,0,0,0,inter_response_interval
C101,2,23,animals,bear,1135,76660,180000,0,0,0,0,inter_response_interval
C101,2,24,animals,lion,2042,78702,180000,0,0,0,0,inter_response_interval
C101,2,25,animals,tiger,1423,80125,180000,0,0,0,0,inter_response_interval
C101,2,26,animals,raccoon,7409,87534,180000,0,0,0,0,inter_response_interval
C101,2,27,animals,ferret,3151,90685,180000,0,0,0,0,inter_response_interval
C101,2,28,animals,possum,5177,95862,180000,0,0,0,0,inter_response_interval
C101,2,29,animals,duck,4137,99999,180000,0,0,0,0,inter_response_interval
C101,2,30,animals,kangaroo,12182,112181,180000,0,0,0,0,inter_response_interval
C101,2,31,animals,eel,7968,120149,180000,0,0,0,0,inter_response_interval
C101,2,32,animals,whale,1536,121685,180000,0,0,0,0,inter_response_interval
C101,2,33,animals,shark,1022,122707,180000,0,0,0,0,inter_response_interval
C101,2,34,animals,mice,5802,128509,180000,0,0,0,0,inter_response_interval
C101,2,35,animals,rat,1351,129860,180000,0,0,0,0,inter_response_interval
C101,2,36,animals,zebra,17215,147075,180000,0,0,0,0,inter_response_interval
C101,2,37,animals,chicken,5136,152211,180000,0,0,0,0,inter_response_interval
C101,2,38,animals,goose,1113,153324,180000,0,0,0,0,inter_response_interval
C101,2,39,animals,swan,1432,154756,180000,0,0,0,0,inter_response_interval
C101,2,40,animals,peacock,1976,156732,180000,0,0,0,0,inter_response_interval
C101,2,41,animals,tarantula,8391,165123,180000,0,0,0,0,inter_response_interval
C101,2,42,animals,rattlesnake,3705,168828,180000,0,0,0,0,inter_response_interval
C101,2,43,animals,cobra,1184,170012,180000,0,0,0,0,inter_response_interval
C101,2,44,animals,python,4944,174956,180000,0,0,0,0,inter_response_interval
C101,2,45,animals,iguana,2230,177186,180000,0,0,0,0,inter_response_interval
C101,3,0,foods,apple,3101,3101,180000,0,0,0,0,inter_response_interval
C101,3,1,foods,pear,760,3861,180000,0,0,0,0,inter_response_interval
